audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,90.0,2984843,geometry/pose_raw,-108.66839599609375,-0.028620468452572823,0.0
,0.0,0.0,,1,,,,,,90.0,2984851,geometry/pose_raw,-108.66769409179688,-0.14387622475624084,0.0
,0.0,0.0,,2,,,,,,90.0,2984859,geometry/pose_raw,-108.6681900024414,-0.1393757462501526,0.0
,0.0,0.0,,3,,,,,,90.0,2984871,geometry/pose_raw,-108.66808319091797,-0.14107799530029297,0.0
,0.0,0.0,,4,,,,,,90.0,2984881,geometry/pose_raw,-108.6680679321289,-0.04073239490389824,0.0
,0.0,0.0,,5,,,,,,90.0,2984889,geometry/pose_raw,-108.66845703125,-0.06423258781433105,0.0
,0.0,0.0,,6,,,,,,90.0,2984897,geometry/pose_raw,-108.66929626464844,-0.06977811455726624,0.0
,0.0,0.0,,7,,,,,,90.0,2984904,geometry/pose_raw,-108.66974639892578,-0.10053808242082596,0.0
,0.0,0.0,,8,,,,,,90.0,2984911,geometry/pose_raw,-108.6697769165039,-0.06138962507247925,0.0
,0.0,0.0,,9,,,,,,90.0,2984917,geometry/pose_raw,-108.66980743408203,0.13012243807315826,0.0
,0.0,0.0,,10,,,,,,90.0,2984925,geometry/pose_raw,-108.66920471191406,-0.03991185128688812,0.0
