audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,90.0,160984,geometry/pose_raw,-1.8040035963058472,-0.10410528630018234,0.0
,0.0,0.0,,1,,,,,,90.0,160992,geometry/pose_raw,-1.8059078454971313,-0.06560652703046799,0.0
,0.0,0.0,,2,,,,,,90.0,161002,geometry/pose_raw,-1.8049898147583008,0.06356753408908844,0.0
,0.0,0.0,,3,,,,,,90.0,161014,geometry/pose_raw,-1.8046351671218872,-0.12495941668748856,0.0
,0.0,0.0,,4,,,,,,90.0,161023,geometry/pose_raw,-1.8056800365447998,-0.017480717971920967,0.0
208198320,,,"[  93  234  359  500  625  765  906 1031 1171 1296 1437 1578 1703 1843
 1968 2109 2250 2375 2515 2640 2781 2906 3046 3187 3312 3453 3578 3718
 3859 3984 4125 4250]",5,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 1.6618945e-02  5.6800502e-03 -1.1499322e-03 -1.3103665e-04
  8.9265255e-04 -6.8773241e-03  7.8745937e-04 -2.2411123e-03
  8.0271915e-04 -1.0252780e-03  7.4087502e-04  2.6313819e-03
 -7.9906936e-04  1.9376779e-03 -6.6340843e-04 -2.9963092e-05
  3.8191461e-04  9.8920322e-04  9.6691033e-04  1.4158669e-03
  6.3496642e-04 -2.6650133e-03  9.9741784e-04  2.1841479e-04
  1.3811489e-04 -6.4723368e-04  6.1035345e-05  1.1064227e-03
 -1.0760817e-04 -2.5156862e-04 -2.5172491e-04  1.0494448e-03
  2.0865532e-02  3.8606687e-03 -1.2226480e-03 -1.1876848e-03
  1.5328110e-03 -2.7074642e-03 -7.4102054e-04 -1.0443932e-03
 -6.4797678e-05 -5.5938988e-04  1.3656584e-03  4.8867019e-05
 -7.4511109e-04 -2.1567514e-05 -6.9140649e-04  4.5775843e-04
  6.6327324e-05 -1.9988604e-04  1.1437144e-03  1.3619206e-04
 -5.9636375e-05 -3.7178933e-04 -2.4379059e-04  4.6419306e-04
 -3.7211692e-04 -1.1502716e-03 -1.2395356e-04  3.9199431e-04
  4.3588300e-04 -3.5078256e-04  2.9914995e-04 -2.1981094e-04
  2.2577565e-02  3.7482691e-03 -1.8937627e-03 -6.5868295e-04
 -4.4691030e-04 -1.6554997e-03  9.1455359e-04 -1.3345588e-04
  1.1267173e-05  4.8043879e-04 -8.3404675e-04  6.6899922e-04
 -1.9209387e-04  2.9811327e-04 -3.1708291e-04 -1.2388788e-03
  2.3631661e-04  4.1759011e-04 -3.1333067e-04  4.3869304e-04
  8.4453332e-04 -7.6410937e-04  5.2061520e-04  1.1477151e-04
 -6.7960360e-04  3.8372536e-04 -4.3999526e-04  5.4562675e-05
 -1.2394769e-05  6.6247152e-04 -1.0365757e-04  1.1269292e-03
  1.9651413e-02  3.5117043e-03 -1.7214387e-03 -8.0330565e-04
  1.5166352e-04 -1.6331763e-03 -5.0791359e-04 -4.7581634e-04
 -1.6961282e-03 -2.7993483e-05 -1.5580634e-05  2.7248854e-05
 -3.5064932e-04  4.7919742e-04 -5.6018558e-04  4.6516005e-05
 -2.2188544e-04  8.8340305e-05  6.1120023e-04  3.2355689e-04
  3.5719507e-04 -5.7944173e-05 -5.2651443e-04  6.0281082e-04
  7.6659874e-04 -1.6043785e-04  1.8912782e-04 -7.2831914e-05
  3.7079203e-04 -7.9537835e-04 -5.1070505e-04 -1.9649205e-04]","[ 1.7590632e+00 -5.9827366e-03 -1.7587472e-02 -1.9570324e-03
  2.0462370e-03 -8.3667692e-04 -2.6864344e-03  1.3428236e-03
  3.0107093e-03 -2.5401642e-03 -2.2996640e-04 -4.9327471e-05
  2.5623251e-04  1.6996578e-03  5.9954182e-04 -1.5651685e-03
  1.0768280e-03 -1.5409970e-04  4.9620739e-04  1.0770650e-03
 -8.9625834e-04 -6.7093840e-04  1.1076586e-03  4.3387577e-04
 -1.2838212e-03  3.3119528e-04 -5.6524028e-04  7.1180327e-04
  4.6771648e-04  2.0208891e-04  3.6335556e-04 -7.3971401e-04
  1.8738725e+00 -5.6330403e-03 -1.7352991e-02 -3.4157457e-03
 -3.9280966e-04  5.8396265e-04  1.4792068e-03  1.0793002e-03
  1.5333949e-03 -1.3476796e-03  4.1498599e-04 -3.5095547e-04
  1.0199004e-04  3.4440943e-04  9.3294191e-04 -7.8636280e-04
  7.5828040e-04 -6.9309596e-04 -2.6310980e-04 -1.7767424e-04
  3.2979937e-04 -8.2123042e-05  5.2319234e-04  5.3864659e-04
 -2.0857705e-04 -4.9791270e-05 -6.9396989e-04  2.9333285e-05
 -4.9760065e-04  6.4819504e-04 -5.7153171e-04  3.8124817e-05
  1.9222548e+00 -3.0426239e-03 -1.8316628e-02 -4.1738646e-03
 -2.3352222e-04  1.9853173e-03  1.8032166e-03  1.3952859e-04
 -3.9165630e-04 -1.3870940e-03 -9.1160380e-04  6.0776016e-04
 -3.3586699e-04 -2.9091348e-04 -2.6359776e-04  4.8140748e-05
 -2.1940030e-04  7.5520738e-04  7.4181898e-04 -2.6454646e-04
 -8.6502271e-04 -9.2812628e-04  1.0711621e-03 -1.0429505e-03
  1.2886211e-05 -3.9860251e-04  2.5729998e-05 -2.4784409e-04
 -2.4572975e-04  6.2907499e-04  1.3566334e-03  6.7157455e-04
  1.8899605e+00 -1.6560231e-03 -1.6989868e-02 -6.3304063e-03
 -2.1610293e-03  1.0010347e-03  1.6800652e-03  1.3656376e-05
  3.8805464e-04 -8.9236017e-04 -7.3723792e-04 -5.4115104e-04
 -4.7911398e-04  2.6830641e-04 -2.2783136e-04 -1.0758983e-04
 -3.2753174e-04  3.7819130e-04  1.1987177e-04  1.9623421e-04
  5.2799936e-04  6.6374574e-04 -2.3186111e-04  3.3863485e-04
 -6.9299451e-04  2.3036147e-05 -3.7925178e-04  1.2318724e-03
 -3.0186962e-04  2.2041188e-04 -6.1305612e-04  3.3662625e-04]",,161030,audio/signals_f,,,
,0.0,0.0,,6,,,,,,90.0,161033,geometry/pose_raw,-1.8048291206359863,0.13403630256652832,0.0
,0.0,0.0,,7,,,,,,90.0,161044,geometry/pose_raw,-1.8049615621566772,-0.07802390307188034,0.0
,0.0,0.0,,8,,,,,,90.0,161053,geometry/pose_raw,-1.80460786819458,-0.04873155057430267,0.0
,0.0,0.0,,9,,,,,,90.0,161063,geometry/pose_raw,-1.8054184913635254,0.029388166964054108,0.0
