audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,90.0,438401,geometry/pose_raw,-54.91588592529297,0.0325603149831295,0.0
,0.0,0.0,,1,,,,,,90.0,438411,geometry/pose_raw,-54.916587829589844,0.2911580801010132,0.0
,0.0,0.0,,2,,,,,,90.0,438420,geometry/pose_raw,-54.91517639160156,0.16635669767856598,0.0
,0.0,0.0,,3,,,,,,90.0,438430,geometry/pose_raw,-54.91557312011719,-0.08680052310228348,0.0
,0.0,0.0,,4,,,,,,90.0,438439,geometry/pose_raw,-54.91543197631836,-0.04257688671350479,0.0
,0.0,0.0,,5,,,,,,90.0,438452,geometry/pose_raw,-54.915428161621094,-0.09205415844917297,0.0
,0.0,0.0,,6,,,,,,90.0,438460,geometry/pose_raw,-54.91535568237305,0.1296398788690567,0.0
486909997,,,"[  93  234  359  500  625  765  906 1031 1171 1296 1437 1578 1703 1843
 1968 2109 2250 2375 2515 2640 2781 2906 3046 3187 3312 3453 3578 3718
 3859 3984 4125 4250]",7,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 2.6635723e-02  3.4797795e-03 -2.6216991e-03 -5.5675218e-03
  8.4565179e-03  4.9391706e-03  6.4826669e-04 -2.2532442e-03
 -1.3187970e-03 -1.0873629e-03 -4.7161215e-04  8.7328162e-04
  6.6234783e-04 -8.0074678e-04 -4.9446785e-04  1.6326606e-03
  6.2828662e-04 -9.7302441e-04 -1.2226349e-03 -6.1153783e-04
  2.5662950e-03 -2.0358947e-03  1.1273926e-03 -5.8994320e-04
 -8.9462125e-04  6.9277664e-04 -1.4226661e-04  5.0527294e-04
 -1.2785355e-03 -5.0847454e-04 -8.3024200e-04  6.2423502e-04
  2.3920378e-02  8.6606329e-04 -1.1944072e-03 -2.7899253e-03
  3.1882492e-03  3.1296930e-03  2.0130381e-03 -1.6082569e-03
 -7.6030963e-04 -7.7712216e-04  3.8120538e-04  5.4428692e-04
  3.3392344e-04 -5.4759177e-04  5.9880060e-04  9.0431952e-04
  3.2293765e-04  4.3451216e-04 -6.4846230e-05 -4.5096164e-04
  2.7351191e-05 -5.2317715e-04 -3.0593533e-04 -4.4798749e-04
  1.6747821e-04 -4.3174980e-05 -3.8620250e-04 -1.7088499e-04
 -7.0359551e-05 -7.4073870e-04 -1.0426960e-04 -4.7543331e-04
  2.7577944e-02 -2.4728309e-03 -1.2760975e-03  6.9695874e-04
  1.2757261e-03  1.4438301e-03 -1.1000462e-03 -1.5497929e-04
  5.5383200e-05 -2.8860383e-04  7.6420902e-04 -5.3490757e-04
 -6.7182549e-04 -4.5186898e-04 -2.7802991e-05 -6.5070495e-04
 -6.4603356e-04  2.1636061e-04  4.7231949e-04  1.7896581e-04
  9.8341925e-04 -7.5124780e-04  1.2202948e-04 -1.0880971e-04
  2.8222619e-04  4.0015479e-04  6.7329686e-04 -5.7834957e-04
  2.2132398e-04 -2.0119983e-04  3.4576247e-04  2.1757456e-04
  2.1383915e-02 -2.2252163e-04  6.4711744e-04 -1.7067930e-04
  7.0880103e-04  9.7858475e-04  1.2226906e-03 -8.4341480e-04
 -6.7311100e-04  2.4232810e-05 -1.2732872e-03 -4.5281529e-04
  1.9162169e-04  2.2020368e-04 -2.6608759e-04  1.1515089e-04
 -1.1250297e-04 -4.9061736e-04 -1.9476570e-04 -1.0444125e-03
 -4.6880069e-04  2.0878471e-04 -4.1158637e-04  9.4652394e-05
  1.1590480e-04 -1.3004278e-04 -1.6475990e-04  2.2930835e-05
 -6.2560826e-04 -6.7772722e-04  1.1955271e-06 -1.3297709e-03]","[ 1.7487758e+00  3.2801852e-03 -1.0470264e-02 -5.9225205e-03
  1.9658584e-04 -1.3256485e-03  5.9737079e-03 -1.4455438e-03
  7.1775960e-04  5.9087545e-04 -5.5373262e-04 -7.4395002e-04
  3.7834374e-04 -2.1692077e-04 -3.2975327e-04  9.3064911e-05
  5.8248430e-04  9.2249754e-04  2.5334797e-04 -8.3314802e-04
 -8.8504178e-04 -6.9767027e-04 -1.5272426e-04  9.8703691e-05
  4.6155875e-04  7.4184645e-04  9.9127321e-04 -8.1414339e-04
 -4.7896261e-05  1.8451948e-04 -4.3678415e-04 -2.4025212e-06
  1.8529594e+00  3.1750803e-03 -1.2900486e-02 -4.8734797e-03
 -1.6817586e-03 -3.5261494e-04  1.3050912e-03 -2.0286442e-04
  7.7644386e-04 -5.6842144e-04 -6.3707278e-04 -4.7943339e-04
 -1.1923381e-04 -5.1335903e-04  6.0387028e-06  3.7074383e-04
  9.0454931e-05 -2.9343425e-04  2.1725058e-04  2.3840347e-04
 -1.4863126e-05 -1.1935139e-04  2.9923994e-04 -5.4610800e-04
 -4.7496920e-05  2.1008971e-04 -2.1478423e-04 -9.9597601e-06
  1.1188357e-04 -1.1125734e-03  4.8102316e-05  3.4293110e-04
  1.9019058e+00  1.2058454e-03 -1.6115598e-02 -1.0343976e-02
 -1.0846229e-03  2.5399807e-03  1.7981709e-03  2.2722066e-03
  3.0041335e-04  6.7286647e-04 -8.3631417e-04  9.6924712e-05
  1.3116689e-03  6.1899429e-04  7.6088845e-04  8.8475214e-04
 -6.6247536e-05 -5.0833682e-04 -1.1973628e-03  2.0375667e-04
 -5.6793320e-04 -9.4279472e-04  1.3456025e-04 -1.8473939e-04
 -2.5761605e-04  1.5429873e-04 -3.9261655e-04  8.8827306e-05
  5.5258238e-04 -9.1552734e-04  1.8277789e-04  8.5042469e-04
  1.8694752e+00  4.1958783e-03 -1.5010573e-02 -8.0945138e-03
 -9.2865806e-04  1.9683933e-03  2.3285218e-05  1.0936038e-03
  5.7973689e-04 -1.3670938e-03 -1.1097385e-04 -7.0760224e-04
  4.5313255e-04  1.0304429e-03  4.7075038e-04  2.2597405e-05
 -2.8246027e-04 -4.4356426e-04  1.1861576e-04  2.1264044e-05
  8.7464746e-04  6.0161133e-04  6.8957557e-04 -2.0753662e-04
 -6.0612801e-04  5.8746763e-04 -2.7611648e-04 -1.9056164e-04
  6.9815884e-05 -9.9022954e-04  3.3793980e-04  9.3390630e-04]",,438462,audio/signals_f,,,
,0.0,0.0,,8,,,,,,90.0,438473,geometry/pose_raw,-54.91577911376953,0.1699947714805603,0.0
,0.0,0.0,,9,,,,,,90.0,438482,geometry/pose_raw,-54.915218353271484,0.05638694763183594,0.0
