audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,112271,geometry/pose_raw,,2.5760858058929443,0.27145668864250183,0.0
,0.0,0.0,,1,,,,,,,,90.0,112278,geometry/pose_raw,,2.5779385566711426,0.04980799928307533,0.0
,0.0,0.0,,2,,,,,,,,90.0,112285,geometry/pose_raw,,2.579576015472412,0.07053642719984055,0.0
,0.0,0.0,,3,,,,,,,,90.0,112292,geometry/pose_raw,,2.579338788986206,0.13471168279647827,0.0
,0.0,0.0,,4,,,,,,,,90.0,112300,geometry/pose_raw,,2.5808985233306885,0.26712629199028015,0.0
,0.0,0.0,,5,,,,,,,,90.0,112308,geometry/pose_raw,,2.581533432006836,0.03817920386791229,0.0
139360481,,,"[3000 4000 2671 3984 4187 1093 4203 2640 1125 1203 1000 2656 1015 2703 3015
 1171 1265 1062 1328 3062 1046 1312 1453 1390 1296 1234 1031 1437 2750 4015
 1750 1250]",6,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[  2.50280835e-04   2.37156730e-03  -7.61851436e-04  -1.09413383e-03
  -5.45779243e-04  -1.25682226e-03   9.34438722e-04   5.52133191e-04
   1.03613851e-03  -7.66829529e-04   7.05294311e-04  -8.70710588e-04
  -1.26902072e-04   1.83375250e-03  -5.08273253e-04  -6.12016767e-04
  -1.11336017e-03   5.87226532e-04   2.42931332e-04  -9.45542357e-04
   5.43753267e-04   8.88998853e-04  -1.07094436e-03   8.94744939e-04
  -7.03645521e-04   4.48470266e-04   2.06890138e-04   8.89578485e-04
  -6.67808694e-04  -4.24714381e-04   3.44528933e-04  -3.00036452e-04
   3.40592465e-03   1.64342346e-05  -3.26845766e-04  -3.85520689e-04
  -1.53780915e-04  -2.90261145e-04   3.95199837e-04  -1.00950827e-03
   3.40264058e-04  -1.08316221e-04  -6.42439991e-04   8.56212137e-05
   1.07734534e-03  -2.39046261e-04  -4.08027990e-04  -9.28212481e-04
   3.51816445e-04   4.49102226e-05   4.19349264e-04  -9.70653608e-04
   2.58375832e-04   8.39904591e-04   1.11533445e-03   7.80943490e-04
  -1.25216309e-03   2.37876258e-04   5.69157244e-04  -2.42448004e-05
   2.43342103e-04   7.81938434e-04  -2.69643089e-04  -3.17701313e-04
   8.32739403e-04   3.14027886e-03  -8.25233932e-04  -1.76035997e-03
  -1.94202294e-03  -1.56582077e-03   1.14801002e-03   4.01398196e-04
  -7.85944110e-04  -1.62567652e-04  -5.09363366e-04   4.48444916e-04
  -4.31572756e-04   1.25831983e-03  -4.34345304e-04   5.81083004e-04
  -7.23178848e-04   5.98284998e-04  -4.75652225e-04  -7.24547775e-04
   6.49872993e-04  -1.38152609e-06   4.17054922e-04   3.85784340e-04
  -4.15305927e-04   5.49949938e-04   1.07693870e-03  -6.50678470e-04
  -5.11021237e-04  -1.60597323e-04  -1.94830645e-05  -3.76042299e-04
   6.66603155e-04   1.25427020e-03   1.01470342e-03  -1.68105611e-03
  -6.89079170e-05  -5.03416173e-04  -4.90100298e-04   3.03096138e-04
  -5.90945456e-05  -3.64184496e-04  -2.18848509e-04  -1.14249866e-04
   1.12343999e-03  -1.29275839e-04   5.33270068e-04   9.25014465e-05
   2.01861913e-04   2.77404397e-05   1.04444334e-03  -1.81191746e-04
   1.66896629e-04  -8.67242110e-04   2.23640818e-04   5.59908745e-04
  -1.53074972e-04   2.63759197e-04  -3.00424635e-05  -4.10793000e-04
   4.29145497e-04   6.47470704e-04   3.63589235e-04  -4.84371121e-05]","[  4.06035595e-03   5.11427759e-04  -2.51243031e-03  -3.18943523e-04
   5.20025962e-04  -6.53187220e-04   2.03943273e-04  -1.00377388e-03
  -3.83196690e-04   1.45265157e-03  -8.76947539e-04   1.47887936e-03
  -6.06544891e-05   9.68527747e-04  -2.90948141e-04   4.49717685e-04
   2.74911668e-04  -2.78652558e-04  -1.50100575e-04  -1.30742672e-04
  -2.52720609e-04  -1.36854709e-04   3.71069153e-04   9.79199307e-04
   2.74751546e-05  -5.22059912e-04   1.16148079e-03  -7.87395285e-04
   1.44376117e-03   1.29154039e-04   1.43590005e-04  -1.06600579e-03
   1.61160808e-03   3.07184784e-03   1.88393824e-04  -1.18766050e-03
   1.92157866e-04  -1.23961386e-03   6.52709859e-04  -1.82984353e-04
   1.42179284e-04   9.09993250e-04  -1.17876171e-03  -6.38273559e-05
  -7.94588486e-05  -3.75513133e-04   7.87802273e-04  -4.61497635e-04
  -6.18320075e-04   1.53166126e-04   6.35896693e-04   5.64556860e-04
   2.32628168e-04  -6.91810856e-04   1.37599767e-04   6.97114330e-04
  -1.16895908e-03  -5.57729276e-04   4.72608255e-04  -1.13292527e-03
   3.44704138e-04  -1.61871765e-04  -1.41681498e-03   2.03024843e-04
   1.26754493e-03   1.33625907e-03  -7.58110429e-04  -3.49933340e-04
  -4.93710453e-04  -4.51504311e-04   1.49887952e-03  -1.68881973e-03
  -3.77358141e-04   1.48117123e-03  -2.45277741e-04   1.33779424e-03
  -1.67133876e-05  -1.76474889e-04  -2.80886656e-04  -6.64361942e-05
  -1.60759164e-03  -3.72765935e-05   9.38656507e-04   2.18866975e-04
   3.07818613e-04  -2.15842258e-04  -9.10078990e-04   1.45071579e-04
  -5.65947092e-04   8.21097987e-04  -1.85105382e-05   2.27540106e-04
  -1.33835129e-05   3.16242629e-04   1.59817864e-04  -9.48491361e-05
  -1.18457270e-03   2.81683146e-03   2.27077166e-04  -1.24576455e-03
  -1.00515818e-03  -8.82524182e-04   1.05178077e-03   9.74262308e-04
   2.34169042e-04   2.32137812e-04   2.56947300e-04  -5.51689765e-04
   7.78832997e-04  -4.84418619e-04  -5.61469060e-04   5.99467079e-04
  -6.24386361e-04  -6.18839345e-04   1.06991059e-03   1.33983919e-03
   4.80437302e-05   4.57223505e-04  -4.31085122e-04   3.35023855e-04
  -5.28358389e-04   4.01468787e-05   6.56649005e-04  -3.73027433e-04
  -4.57163289e-04  -4.97057743e-04  -8.40312918e-04  -1.56007358e-03]",,112310,audio/signals_f,,,,
,0.0,0.0,,7,,,,,,,,90.0,112316,geometry/pose_raw,,2.5815868377685547,-0.03660125657916069,0.0
,0.0,0.0,,8,,,,,,,,90.0,112323,geometry/pose_raw,,2.5814390182495117,-0.004823965486139059,0.0
,,,,9,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,112331,crazyflie/motors,,,,
