audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,498164,geometry/pose_raw,,3.3558175563812256,0.004623087588697672,0.0
,0.0,0.0,,1,,,,,,,,90.0,498172,geometry/pose_raw,,3.355337619781494,0.07265155017375946,0.0
1099188998,,,"[1000 1125 1250 1375 1500 1625 1750 1875 2000 2125 2250 2375 2500 2625 2750
 2875 3000 3125 3250 3375 3500 3625 3750 3875 4000 4125 4250 4375 4500 4625
 4750 4875]",2,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[ -2.07906443e-04   4.78401780e-04  -4.71304520e-04   1.87560319e-04
  -8.32611040e-05   3.37047852e-04  -1.66145139e-04  -2.85739079e-04
   2.98081140e-04   1.86689198e-04   6.46018307e-04  -2.30652600e-04
   4.28391912e-04  -6.82847516e-04   5.95674559e-04   5.44009847e-04
  -6.50188711e-04  -5.98407059e-04   3.01257009e-04   3.02549859e-04
  -3.30082170e-04   4.59086354e-04   9.89730324e-05  -9.11968600e-05
  -1.99853349e-03   7.25581311e-04  -3.45042354e-05  -3.27515649e-04
   6.45881228e-04  -1.12447975e-04   4.83775628e-04   6.22396037e-05
  -3.73737421e-04   9.09300987e-04   7.10160122e-04   4.73114109e-04
   6.26004010e-04   5.75734011e-04   2.70374498e-04   6.07720343e-04
   2.59211265e-05  -1.94957029e-04   1.39347234e-04   2.85694783e-04
  -5.91351883e-04   1.47197978e-04  -1.36285991e-04   2.82697321e-04
  -3.96791438e-04   2.05168908e-05  -9.57996526e-05   6.59332611e-04
  -2.90733209e-04   1.96902896e-04  -2.85116286e-04   2.14359621e-04
  -1.67432043e-03   1.05853571e-04  -7.04152975e-04  -3.45364475e-04
   3.93865514e-04  -8.96483252e-05  -4.02832899e-04  -6.15152967e-05
  -1.04250081e-04   1.15101447e-03  -1.39848248e-03  -6.91407593e-04
  -6.17776532e-05   7.55131012e-04  -4.57644695e-04  -7.13693793e-04
  -3.87713255e-04   9.68073786e-04   5.20583824e-04   2.44882249e-04
   2.75670260e-04  -5.82994544e-04  -2.33344283e-04   4.33511246e-04
  -4.66524507e-04   5.73232945e-04  -2.74812628e-04   4.01267869e-04
  -7.72429164e-04   4.70645726e-04   2.87380011e-04  -3.62764811e-04
  -3.92467808e-03   9.46517102e-04   1.07348184e-04   2.52454367e-04
  -1.95522342e-04  -2.16039160e-04   2.68141390e-04   1.57347677e-04
  -3.63840547e-04   9.17185571e-06   2.89010117e-04   6.84639905e-04
   1.47715356e-04  -8.33299418e-04  -2.34800973e-05   5.18467314e-05
   1.09431552e-04   4.28894506e-04   3.36146913e-04   1.54727401e-04
   8.71491036e-04   4.87384561e-04  -2.39551809e-04  -1.14418846e-03
  -9.43365798e-04  -7.52610737e-04  -3.85903812e-04   2.64050846e-04
  -3.78028431e-04  -1.00335339e-04   4.21210134e-04   3.32246185e-04
  -2.25017499e-03   6.30311479e-05  -9.64398903e-04   9.60427686e-04
   8.78275256e-04  -7.95243686e-05  -6.62222214e-04  -7.22956378e-04]","[ -9.56445947e-05   1.47304178e-04   3.33570730e-04   1.53033482e-03
  -1.04995896e-04   3.28499707e-04  -1.69074410e-05  -1.18503587e-04
   1.67858409e-04   7.16509006e-04   9.41244769e-04   6.04210538e-04
  -1.87955127e-04  -6.18486782e-04   1.12865260e-03   8.63636669e-04
  -7.90484191e-04  -2.45173927e-04   9.86110390e-05  -7.58269394e-04
  -4.45794722e-04  -2.61019508e-04  -3.96476134e-05  -1.27460298e-04
   7.77463196e-04  -2.97555409e-04   8.25258205e-04  -5.46723430e-04
  -2.33448387e-04  -6.90901943e-05   2.41857284e-04   8.90368683e-05
   1.10367581e-03  -9.10265517e-05  -8.74230682e-05   1.28714624e-03
   5.22411196e-04  -3.52260104e-04   2.73408543e-04   2.43117713e-04
   2.79331027e-04  -2.70803052e-04   2.73833110e-04   2.12236147e-04
   4.96491266e-04   5.45874937e-04   9.75300427e-05   8.24285089e-05
   4.25876700e-04  -1.01130063e-05  -9.28289490e-04  -3.61941056e-06
  -2.31479062e-04   1.97680958e-04   3.29128234e-04   6.59053258e-05
  -2.19770265e-03   4.04341030e-04   3.38045880e-04  -5.86713577e-05
  -7.04817998e-04   2.63361551e-04   2.85717659e-04  -3.99311655e-04
   6.95378636e-04   4.35445836e-05  -2.06205659e-05   1.14782387e-03
   3.61685932e-04  -9.66183492e-04  -4.53020184e-04   3.94749397e-04
   4.36932751e-04  -4.10092005e-04   2.30985723e-04   5.29541758e-05
  -1.34659203e-04   3.02190834e-04   9.69143119e-04   5.76496706e-04
  -6.93707436e-04   7.64515251e-04   1.67980703e-04  -3.52112285e-04
   5.39937027e-05   1.44624864e-04  -5.17359003e-04  -4.65104706e-04
   1.22817873e-04   7.75219349e-04  -1.89468163e-04  -5.44204784e-04
  -1.95673390e-04  -7.11094690e-05  -2.44945666e-04  -4.24261962e-04
  -1.14531466e-03   2.98607309e-04   9.70982830e-04   4.81025898e-04
   5.46883966e-05  -3.09941679e-04  -7.10991662e-05   2.83966830e-04
   4.28190135e-04   3.15296056e-04   2.20133210e-04  -3.50002374e-04
   3.52522940e-04  -1.20685640e-04  -4.33570356e-04  -5.38456836e-04
   7.98381050e-04  -1.27082414e-04   1.65222984e-04  -7.56240450e-04
   5.83208282e-04  -3.71455280e-06   6.59693615e-06  -6.92827962e-05
  -6.11687778e-04   4.73728054e-04   3.34858225e-04  -5.87786140e-04
  -1.99802424e-04  -3.20124265e-04   4.02469828e-04  -3.45499488e-04]",,498176,audio/signals_f,,,,
,0.0,0.0,,3,,,,,,,,90.0,498181,geometry/pose_raw,,3.356879472732544,0.045821141451597214,0.0
,0.0,0.0,,4,,,,,,,,90.0,498191,geometry/pose_raw,,3.35555100440979,-0.11183811724185944,0.0
,0.0,0.0,,5,,,,,,,,90.0,498207,geometry/pose_raw,,3.3561301231384277,-0.06966467946767807,0.0
,0.0,0.0,,6,,,,,,,,90.0,498216,geometry/pose_raw,,3.3562517166137695,0.029706241562962532,0.0
,0.0,0.0,,7,,,,,,,,90.0,498222,geometry/pose_raw,,3.3568227291107178,-0.05869678407907486,0.0
,,,,8,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,498226,crazyflie/motors,,,,
,0.0,0.0,,9,,,,,,,,90.0,498229,geometry/pose_raw,,3.3563342094421387,0.08118127286434174,0.0
,0.0,0.0,,10,,,,,,,,90.0,498242,geometry/pose_raw,,3.3569788932800293,-0.046445082873106,0.0
,0.0,0.0,,11,,,,,,,,90.0,498251,geometry/pose_raw,,3.356867790222168,0.13798384368419647,0.0
,0.0,0.0,,12,,,,,,,,90.0,498261,geometry/pose_raw,,3.3561418056488037,-0.1092362254858017,0.0
,0.0,0.0,,13,,,,,,,,90.0,498272,geometry/pose_raw,,3.3551976680755615,0.03103145956993103,0.0
,0.0,0.0,,14,,,,,,,,90.0,498281,geometry/pose_raw,,3.354487895965576,0.10498428344726562,0.0
,0.0,0.0,,15,,,,,,,,90.0,498291,geometry/pose_raw,,3.3568310737609863,0.054270751774311066,0.0
