audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,1005639,geometry/pose_raw,,135.94485473632812,0.0007093335734680295,0.0
,,,,1,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,1005644,crazyflie/motors,,,,
,0.0,0.0,,2,,,,,,,,90.0,1005649,geometry/pose_raw,,135.9453125,0.091218501329422,0.0
,0.0,0.0,,3,,,,,,,,90.0,1005660,geometry/pose_raw,,135.94561767578125,-0.22551047801971436,0.0
,0.0,0.0,,4,,,,,,,,90.0,1005668,geometry/pose_raw,,135.94602966308594,0.018367702141404152,0.0
,0.0,0.0,,5,,,,,,,,90.0,1005680,geometry/pose_raw,,135.944580078125,0.004829737823456526,0.0
1244854856,,,"[1000 1125 1250 1375 1500 1625 1750 1875 2000 2125 2250 2375 2500 2625 2750
 2875 3000 3125 3250 3375 3500 3625 3750 3875 4000 4125 4250 4375 4500 4625
 4750 4875]",6,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[  1.07075286e-03   6.97773369e-03  -5.93768153e-03  -2.92940089e-03
  -4.40102397e-03  -7.33436609e-04   2.78192433e-03  -1.91864197e-03
   3.99303623e-03  -2.72198115e-03   3.62772774e-03  -1.14204001e-03
  -4.19788342e-03  -1.08399580e-03  -3.03401984e-03   1.47845922e-03
  -1.04905246e-03  -7.78457033e-04   6.68219058e-04  -1.01942998e-04
   1.55848672e-03   8.43251881e-04   6.96443894e-04   5.45787159e-04
   2.27239076e-03   3.75510106e-04  -2.11492251e-03  -1.88082526e-03
  -6.09189447e-05  -2.66995252e-04  -1.76786736e-04  -5.31615457e-04
  -1.19165704e-03  -4.20607161e-03   4.01297002e-04   4.74686548e-03
  -4.03889036e-03   3.52623267e-03   1.33477000e-03   4.54756338e-03
   1.45577913e-04  -2.06019310e-03   6.19428523e-04   2.87042977e-03
   3.12062353e-03   1.44052575e-03  -8.60673492e-04  -2.73865939e-04
   1.54425891e-03  -2.03645322e-03  -1.09089643e-03   1.68190245e-03
  -1.79413517e-04   4.43714671e-05   7.02091726e-04  -3.84674757e-04
  -2.89430702e-03  -9.74589551e-04   1.24790589e-03   2.94350233e-04
   4.07594664e-04  -5.80084859e-04  -3.42933228e-04  -3.09433177e-04
  -3.36018670e-03   3.53721576e-03   6.07715046e-04   4.31447616e-03
  -3.82874534e-03   2.55680131e-03   2.85908720e-03   2.51367944e-03
  -2.64987838e-03   4.53214068e-03  -4.18707123e-03   1.40553690e-03
   2.59482325e-03  -1.17830670e-04  -1.11190614e-03   1.15410960e-03
   2.19643605e-03   6.14628429e-04   1.41080853e-03  -9.15710581e-04
   8.79687606e-04   1.06805272e-03  -1.45637861e-03  -1.16956001e-03
   5.03388001e-04   2.84960057e-04   4.24548867e-04   3.88919143e-04
   1.74905377e-04   1.00271322e-03   3.03418317e-04  -4.05820319e-05
   4.52485401e-03   1.48386997e-03  -3.99326812e-03   2.35350034e-03
  -9.00726154e-05  -2.56120763e-03   2.33198120e-03  -2.45875353e-03
  -2.20691250e-03   9.11916606e-04  -3.74979642e-03  -6.74770679e-04
  -5.61076566e-04   7.75485125e-04  -1.89569240e-04   7.66433426e-04
  -2.10923678e-03   2.46096053e-04   1.61571079e-03  -7.42655015e-04
  -1.09227578e-04  -8.38548061e-04   3.79013247e-04   9.74631985e-04
  -3.25848442e-03   6.66657405e-04  -3.72695096e-04  -2.30533129e-04
   8.99341947e-04  -3.89177003e-04   2.48677359e-04   1.05807470e-04]","[  2.64714076e-03  -5.30351477e-04  -6.86781015e-03  -1.08435168e-03
  -8.68290570e-03   1.99589226e-03   3.81041691e-03  -1.07796310e-04
  -2.90114293e-03  -1.59591576e-03  -2.22272892e-03  -2.96039344e-03
  -1.30878063e-03  -1.52459426e-03   1.31535949e-03  -1.53295626e-03
   1.67218735e-03   7.94569147e-04  -1.39998680e-03  -6.21197221e-04
   7.30206724e-04  -1.35191518e-03   1.01801392e-03  -9.11015319e-04
   2.28823163e-03  -5.16906148e-04   2.29570956e-04   2.16527551e-04
  -5.46052936e-04   2.20969727e-04  -2.03889445e-03  -7.39768555e-04
  -1.70557341e-03  -2.19764933e-03   5.48493071e-03  -3.21782543e-03
   7.60565884e-03  -3.04281665e-03  -3.38512147e-03   1.37389638e-03
   4.53706481e-04   1.76423753e-03   1.40065770e-03  -6.29478833e-04
  -2.13040784e-03   1.03249575e-03  -5.28504956e-04  -4.71015315e-04
  -1.00144558e-03  -1.39618944e-03  -1.60807904e-04   1.96211063e-03
   6.80539000e-04   8.16269487e-04   1.52350240e-03  -7.63339340e-04
   4.75338427e-04  -2.80553754e-03   3.07971321e-04   1.13505241e-03
   5.54362894e-04  -8.97307356e-04  -5.80487074e-04  -5.00578317e-05
   9.07808635e-03   2.75379838e-03  -3.77435633e-03  -3.88987246e-05
   7.43671786e-03   7.01129669e-04  -5.34914061e-03   2.40510562e-03
   2.82933051e-03   1.23428518e-03  -2.23423878e-04  -1.82587048e-03
  -1.03721127e-03   1.71832129e-04  -1.87418621e-03  -1.80799095e-03
   3.60943377e-03  -1.62816071e-03  -9.71077592e-04   1.61391537e-04
  -1.91931124e-03   5.72176476e-04  -1.35260716e-03  -6.11160125e-04
  -8.24567280e-04   2.97544611e-05  -1.99599098e-03  -2.84788897e-04
   9.52359289e-04   8.46965646e-04  -4.32938832e-04   1.11974950e-03
   4.62355651e-03   4.73002903e-03  -4.63851681e-03  -3.69673618e-03
  -1.25121768e-03  -5.90709213e-04   3.14184511e-03   3.36387311e-03
   4.35299473e-03   1.15463429e-03  -2.33651605e-03   1.09837623e-03
   4.65086661e-03   1.08699943e-03   4.27320847e-05   1.57634448e-03
   1.66039192e-03   9.21814819e-04   1.33173703e-03   3.20544816e-04
  -1.82714371e-04   1.08169345e-03   7.29912659e-04  -5.49292134e-04
   1.69702515e-03  -2.21605808e-03   1.11061847e-03   3.89498018e-04
  -9.40395868e-04  -1.09703382e-04  -8.61315173e-04  -6.75020448e-04]",,1005681,audio/signals_f,,,,
,0.0,0.0,,7,,,,,,,,90.0,1005691,geometry/pose_raw,,135.94454956054688,0.1533774733543396,0.0
,0.0,0.0,,8,,,,,,,,90.0,1005706,geometry/pose_raw,,135.94252014160156,0.07957123965024948,0.0
,0.0,0.0,,9,,,,,,,,90.0,1005713,geometry/pose_raw,,135.94253540039062,0.2026003748178482,0.0
