audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,470288,geometry/pose_raw,,129.0703125,-0.004882324021309614,0.0
715967915,,,"[1000 1125 1250 1375 1500 1625 1750 1875 2000 2125 2250 2375 2500 2625 2750
 2875 3000 3125 3250 3375 3500 3625 3750 3875 4000 4125 4250 4375 4500 4625
 4750 4875]",1,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[  2.07571057e-03  -1.11350580e-03   1.44964992e-03   4.49741352e-03
  -1.97991403e-03   1.30025554e-03  -2.90987780e-03  -5.35392552e-04
   5.42998896e-04  -1.14318286e-03   2.54636630e-04   1.79314549e-04
   5.68049902e-04  -8.85201443e-04  -2.46516283e-04   7.35737704e-05
   2.48679519e-03  -3.60854145e-04   5.42906346e-04   3.58825200e-04
   2.01413510e-04   3.34555691e-04  -6.74146344e-04  -4.26907704e-04
   2.03175424e-03  -3.85985972e-04  -1.54088507e-03   2.16879474e-04
   6.90462039e-05  -1.14593378e-04   1.91734944e-06   1.34031026e-04
  -2.09706952e-03   1.42303947e-03   2.02392600e-03  -3.38936254e-04
  -9.01406747e-04   2.10834041e-05   5.51833829e-04  -5.02032635e-04
   1.02281151e-03  -3.60238366e-04  -9.97750903e-04  -8.42582231e-05
  -9.79981269e-04   5.91032789e-04   1.19020260e-04   5.76182385e-04
   7.43536628e-04   1.66350059e-04   6.93203881e-04  -8.25687079e-04
  -2.91654665e-04  -2.65350449e-04   3.81399761e-04   5.04359414e-05
  -4.33297100e-04   1.94437162e-05   9.12116375e-04  -7.76198794e-05
  -4.48371953e-04   3.97085998e-04  -2.42596667e-04  -4.99044545e-04
  -1.48453764e-04  -2.07189820e-03   1.36812706e-03  -2.06503132e-03
   1.73087139e-03  -6.06272893e-04   5.04370837e-06  -1.46694656e-05
   1.23408868e-03   1.31325261e-03  -1.59939029e-03  -6.70362962e-04
  -1.00727403e-03  -9.87971143e-05  -1.30077184e-04  -3.65201326e-04
   3.35363700e-04  -5.80027176e-04  -9.59927915e-04   1.85368554e-04
  -2.05170247e-04  -7.39130133e-04  -1.27087627e-03   5.80922468e-04
   1.57950562e-03   7.20014970e-04  -3.61177372e-04   7.41004886e-04
  -2.06351207e-04   4.89709419e-05   1.10130139e-04  -5.26064774e-04
  -1.76846166e-04  -5.15769992e-04  -2.06032046e-03  -2.10252940e-03
   1.26292551e-04   3.11224628e-03   2.88804853e-03  -7.67603342e-04
  -1.91519118e-03  -9.79955774e-04   1.75514538e-03  -7.39447423e-05
  -9.69058776e-04   1.47022202e-03  -3.55763215e-04   1.55987509e-03
  -3.23107396e-03  -2.75922532e-04   4.76336922e-04   1.83099444e-04
   2.60492321e-04  -3.08485498e-04   1.24244922e-04   2.54478626e-04
   4.77711437e-04   3.89656379e-05  -1.67715858e-04  -1.71983193e-05
   7.11728426e-05  -2.60961067e-04   1.78115952e-04   6.22814870e-04]","[ -1.14012940e-03   2.14145659e-03  -2.75364262e-04   1.63353840e-03
   2.08034500e-04   1.37081486e-03   2.46971357e-03   1.74999551e-03
   4.32114815e-04  -1.49915845e-03  -1.38987205e-03  -2.49162513e-05
   5.03269548e-04  -8.11813108e-04  -4.07551357e-04  -3.33136151e-04
  -2.34972074e-04   1.63039949e-04   3.53703450e-04   5.19586087e-04
  -8.35082959e-04   1.94698834e-04   2.69159238e-04  -3.82074970e-04
  -2.09031999e-03  -3.07484122e-04   3.91359528e-04   2.74579477e-04
   3.83849401e-04  -1.84139441e-04   3.37459409e-04   7.35914218e-05
   3.46784061e-03   5.28682605e-04  -1.09844003e-03   9.54428280e-04
   1.15337520e-04   6.14475168e-04  -9.22659703e-04  -1.59167894e-03
  -2.95028964e-04  -7.20783428e-05  -8.59021093e-04  -6.42007799e-04
  -8.27251817e-04   5.16730652e-04  -6.28342270e-04  -3.40982398e-04
   2.07585341e-04   2.07151708e-04   1.97551824e-04  -5.10370126e-04
  -6.20724924e-04  -5.24489384e-04   4.14508540e-04  -5.15726788e-05
   1.66418590e-03   1.08750456e-03   2.37098880e-04  -3.57833080e-04
   5.25410171e-04   2.66762741e-04   3.61329439e-04   3.59274563e-04
  -8.36130203e-05   2.38154083e-03   3.69988428e-03   5.91509335e-04
  -1.91463460e-03  -3.32366355e-04   9.13040945e-04   1.74650247e-03
   4.24282625e-04   4.17652656e-04   3.61283077e-04   1.73113472e-03
  -3.56915989e-04   1.17454259e-03   2.15243985e-04  -4.84252698e-04
  -9.23571526e-04   2.76911131e-04   1.39218173e-03   5.11654653e-04
   1.61817775e-03  -1.97147310e-04  -3.48415429e-04  -5.49521646e-04
  -1.35228469e-03   2.69090204e-04  -1.10706038e-04   2.59148830e-04
   1.09700661e-04   2.04235053e-04  -3.41214356e-04  -8.28962729e-05
   1.49704074e-03   4.93251532e-03   2.78493343e-03  -2.28877459e-03
   4.99443151e-04  -3.70232010e-04   4.63765115e-04   3.34291835e-04
  -8.15057079e-04   1.26495073e-03  -7.25502847e-04  -2.34817807e-03
  -8.43722140e-04   4.67536098e-04   1.45985349e-03   6.12322823e-04
   4.51960368e-05  -5.01176575e-04   4.11429763e-04  -1.33420195e-04
  -1.54532288e-04  -1.05343250e-04   2.47413642e-04   1.16388415e-04
   3.03607341e-03   5.40010747e-04  -9.84494458e-04   2.29512429e-04
  -2.22430113e-04  -3.11065902e-04   6.87501888e-05   2.40176232e-04]",,470289,audio/signals_f,,,,
,0.0,0.0,,2,,,,,,,,90.0,470298,geometry/pose_raw,,129.06988525390625,0.06788120418787003,0.0
,0.0,0.0,,3,,,,,,,,90.0,470304,geometry/pose_raw,,129.0709228515625,-0.08497493714094162,0.0
,,,,4,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,470310,crazyflie/motors,,,,
,0.0,0.0,,5,,,,,,,,90.0,470314,geometry/pose_raw,,129.07107543945312,-0.04577256366610527,0.0
,0.0,0.0,,6,,,,,,,,90.0,470323,geometry/pose_raw,,129.07235717773438,0.009049027226865292,0.0
,0.0,0.0,,7,,,,,,,,90.0,470330,geometry/pose_raw,,129.07138061523438,0.10785866528749466,0.0
,0.0,0.0,,8,,,,,,,,90.0,470336,geometry/pose_raw,,129.07000732421875,-0.17876651883125305,0.0
,0.0,0.0,,9,,,,,,,,90.0,470344,geometry/pose_raw,,129.0701446533203,0.09052561968564987,0.0
