audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,557830,geometry/pose_raw,,3.388746976852417,-0.07883641868829727,0.0
,0.0,0.0,,1,,,,,,,,90.0,557839,geometry/pose_raw,,3.388746976852417,-0.07883641868829727,0.0
,0.0,0.0,,2,,,,,,,,90.0,557848,geometry/pose_raw,,3.388746976852417,-0.07883641868829727,0.0
,0.0,0.0,,3,,,,,,,,90.0,557858,geometry/pose_raw,,3.388746976852417,-0.07883641868829727,0.0
,0.0,0.0,,4,,,,,,,,90.0,557869,geometry/pose_raw,,3.388746976852417,-0.07883641868829727,0.0
,,,,5,,[ 62386.  62386.  62386.  62386.],[ 0.  0.  0.  0.],,,,,,557874,crazyflie/motors,,,,
,0.0,0.0,,6,,,,,,,,90.0,557877,geometry/pose_raw,,3.388746976852417,-0.07883641868829727,0.0
,0.0,0.0,,7,,,,,,,,90.0,557897,geometry/pose_raw,,3.388746976852417,-0.07883641868829727,0.0
,0.0,0.0,,8,,,,,,,,90.0,557903,geometry/pose_raw,,3.388746976852417,-0.07883641868829727,0.0
,0.0,0.0,,9,,,,,,,,90.0,557910,geometry/pose_raw,,3.388746976852417,-0.07883641868829727,0.0
