audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,1099119,geometry/pose_raw,,137.26895141601562,0.07305563986301422,0.0
,0.0,0.0,,1,,,,,,,,90.0,1099129,geometry/pose_raw,,137.271240234375,-0.20901142060756683,0.0
,0.0,0.0,,2,,,,,,,,90.0,1099136,geometry/pose_raw,,137.27122497558594,-0.06539898365736008,0.0
,0.0,0.0,,3,,,,,,,,90.0,1099143,geometry/pose_raw,,137.27366638183594,0.05420432239770889,0.0
,0.0,0.0,,4,,,,,,,,90.0,1099151,geometry/pose_raw,,137.27340698242188,0.02828463353216648,0.0
,0.0,0.0,,5,,,,,,,,90.0,1099160,geometry/pose_raw,,137.2744140625,-0.08031651377677917,0.0
,,,,6,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,1099165,crazyflie/motors,,,,
,0.0,0.0,,7,,,,,,,,90.0,1099168,geometry/pose_raw,,137.274169921875,-0.04089539498090744,0.0
,0.0,0.0,,8,,,,,,,,90.0,1099179,geometry/pose_raw,,137.27352905273438,-0.1073240116238594,0.0
,0.0,0.0,,9,,,,,,,,90.0,1099188,geometry/pose_raw,,137.2744140625,-0.11198243498802185,0.0
,0.0,0.0,,10,,,,,,,,90.0,1099200,geometry/pose_raw,,137.27523803710938,-0.04866699129343033,0.0
