audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
758963600,,,"[1000 1125 1250 1375 1500 1625 1750 1875 2000 2125 2250 2375 2500 2625 2750
 2875 3000 3125 3250 3375 3500 3625 3750 3875 4000 4125 4250 4375 4500 4625
 4750 4875]",0,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[  1.68837188e-03  -2.01516203e-03  -2.13372707e-03  -6.24809414e-04
   1.92192820e-04  -1.43426494e-03   2.97620645e-05  -2.67724332e-04
  -5.70637290e-04  -6.44767191e-04  -8.02816649e-04   2.30347578e-04
   4.33465408e-04   5.90489799e-05   7.83768191e-04  -2.56073981e-04
  -2.43601302e-04   6.02864195e-04   2.05516495e-04  -7.57962844e-05
  -4.46022896e-04  -8.32872320e-05   5.15165855e-04  -3.09513736e-04
   9.83135076e-04   1.36217175e-04  -4.63698350e-04  -4.20291850e-04
  -1.52094421e-04  -1.62713142e-04   5.51752892e-05   4.87490732e-04
   2.40582135e-03  -9.10832081e-04   2.45302333e-04  -3.43414431e-04
   3.22436739e-04   4.53801942e-04  -5.40602603e-04  -8.33421305e-04
  -1.11887790e-03   9.80683020e-04   4.33963723e-04   1.48839632e-03
  -2.33641942e-04  -9.45631065e-04  -1.15333835e-03   4.20233468e-04
   6.99173950e-04   1.24722545e-03  -2.23897689e-04   3.24025663e-04
  -6.95225317e-05  -5.02911862e-04   4.09576343e-04  -2.00152543e-04
   2.08786898e-03   5.39700268e-05  -7.51225627e-04  -7.69781618e-05
   1.06341951e-03  -5.94354002e-04  -3.24977358e-04  -4.47070837e-04
   5.19156572e-04  -8.04190873e-04  -5.31576574e-04  -8.12302344e-04
  -4.95674976e-05   3.66804772e-04   8.04001873e-04   2.57733831e-04
   1.97555462e-04   1.20123936e-04   5.79086947e-04  -8.79475672e-04
   4.28935309e-05   6.09408424e-04   9.03996057e-04   6.41797204e-04
  -1.73313107e-04   1.13378791e-03   9.38063022e-06   1.12936759e-05
  -1.52077863e-03   5.05345815e-04   1.91203027e-04   3.07530805e-04
   2.56700069e-03  -1.99672897e-04   7.41219439e-04   7.70973624e-04
   8.50807352e-04   6.18407736e-04  -5.79204119e-04  -8.26311298e-04
   1.77854393e-03  -2.98353494e-04   1.49646262e-03   8.01178918e-04
   1.20122614e-03   9.92329908e-04  -8.83121684e-05   9.58793971e-04
   2.35070474e-04   1.47107494e-05  -1.24452589e-03  -4.84207936e-04
  -3.68096255e-04   9.46282962e-05  -2.61644396e-04  -3.21338302e-04
   4.44013967e-05  -5.91726275e-04  -1.00166202e-04   3.12014337e-04
   9.15000128e-05  -6.70462614e-05  -6.29580405e-04   1.68720144e-04
   3.37950746e-03   7.16971699e-05  -1.73488123e-04   8.68950447e-04
  -2.75698781e-04  -1.96168810e-04  -1.04768056e-04  -1.02141779e-03]","[  9.50903457e-04  -1.63359602e-03   7.87451980e-04  -1.16222342e-04
   5.07956720e-04  -5.29315730e-04   6.91704219e-04   1.22035178e-03
   9.16586898e-04  -4.14729991e-04   5.32641425e-04  -1.04026846e-03
   2.40897250e-04   6.11052616e-04   2.21349925e-04   6.05139183e-04
   2.78045074e-04  -5.02392795e-05   1.84369972e-04  -4.24771308e-04
  -4.22573765e-04   3.88122629e-04   5.54556609e-04   2.45135627e-04
  -1.60694076e-03  -1.38708856e-04   8.93274992e-05   2.51848483e-04
  -4.00710793e-04   2.41471309e-04  -3.58581048e-04   7.70899278e-05
  -4.59936215e-04   1.24653429e-03  -1.53339421e-03   4.19418880e-04
   1.73175090e-03  -6.29690403e-05   4.20800177e-04  -1.77303376e-03
   1.15468196e-04   3.85321066e-04  -7.59140705e-04  -3.75562813e-04
   2.22621282e-04  -6.91025867e-04  -1.08038454e-04  -1.38925010e-04
  -1.01167441e-03   2.07337143e-04  -2.03437492e-04  -2.44759023e-04
  -1.00601741e-04  -1.91890096e-04   7.97782413e-05  -4.19295975e-04
   6.67982385e-04  -5.78697363e-04  -5.01392002e-04   2.21444556e-04
  -9.12685879e-04   1.37707510e-04  -5.00963186e-04  -7.37720184e-05
   6.55437587e-04  -4.53794049e-03   7.45808007e-04   1.17657869e-03
  -4.25175152e-04   9.41991922e-04  -5.42880152e-04   1.05048835e-04
   5.62721398e-04   6.20017177e-04  -3.47801863e-04  -2.90952798e-04
   3.62573483e-05  -7.06188381e-04   1.52389728e-03  -5.34827355e-04
  -1.98130147e-05   4.90219390e-04   6.06360147e-04  -2.48757511e-04
   8.15762964e-04   1.35798252e-03   1.42968012e-04   2.73901605e-05
  -1.59340748e-03   3.88483226e-04   9.85129853e-04  -8.08652723e-04
   9.49218404e-04  -1.98971917e-04   3.95570591e-04  -2.78103631e-04
   1.54418137e-03   1.35774622e-04  -5.81430329e-04   1.39357278e-03
  -1.78652641e-04  -2.48132681e-04  -1.52241992e-04  -5.10966114e-04
   8.14440486e-04  -1.13137101e-03  -1.94856912e-04  -3.30927796e-05
  -4.31673980e-05   2.61412584e-04   1.31964785e-04   2.75979750e-04
   7.17188741e-05  -6.13187149e-04  -8.92819007e-05  -3.76533542e-04
  -5.32344391e-04  -5.21746231e-04  -4.86102363e-05   4.22189951e-05
  -1.44211832e-03  -2.76371167e-04   3.02712462e-04   7.50369916e-04
  -1.40302116e-04  -1.01368083e-03  -4.00172896e-04  -5.44729934e-04]",,154487,audio/signals_f,,,,
,0.0,0.0,,1,,,,,,,,90.0,154490,geometry/pose_raw,,2.204930067062378,-0.022356096655130386,0.0
,0.0,0.0,,2,,,,,,,,90.0,154497,geometry/pose_raw,,2.205594062805176,0.0412512943148613,0.0
,0.0,0.0,,3,,,,,,,,90.0,154505,geometry/pose_raw,,2.206035614013672,-0.04651058837771416,0.0
,,,,4,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,154511,crazyflie/motors,,,,
,0.0,0.0,,5,,,,,,,,90.0,154516,geometry/pose_raw,,2.2057294845581055,0.10993235558271408,0.0
,0.0,0.0,,6,,,,,,,,90.0,154525,geometry/pose_raw,,2.206667900085449,0.03868640586733818,0.0
,0.0,0.0,,7,,,,,,,,90.0,154535,geometry/pose_raw,,2.206219434738159,-0.08426220715045929,0.0
,0.0,0.0,,8,,,,,,,,90.0,154546,geometry/pose_raw,,2.205292224884033,-0.089369997382164,0.0
,0.0,0.0,,9,,,,,,,,90.0,154555,geometry/pose_raw,,2.204483985900879,-0.03385955095291138,0.0
,0.0,0.0,,10,,,,,,,,90.0,154565,geometry/pose_raw,,2.204972505569458,0.026936296373605728,0.0
,0.0,0.0,,11,,,,,,,,90.0,154577,geometry/pose_raw,,2.205595016479492,0.0816187933087349,0.0
