audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,201961,geometry/pose_raw,,-24.42707061767578,0.07745361328125,0.0
,,,,1,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,201966,crazyflie/motors,,,,
,0.0,0.0,,2,,,,,,,,90.0,201970,geometry/pose_raw,,-24.426799774169922,0.16417360305786133,0.0
,0.0,0.0,,3,,,,,,,,90.0,201980,geometry/pose_raw,,-24.427339553833008,-0.05190395936369896,0.0
,0.0,0.0,,4,,,,,,,,90.0,201989,geometry/pose_raw,,-24.427330017089844,0.016354473307728767,0.0
,0.0,0.0,,5,,,,,,,,90.0,201998,geometry/pose_raw,,-24.427108764648438,0.02183070220053196,0.0
392801063,,,"[1000 1125 1250 1375 1500 1625 1750 1875 2000 2125 2250 2375 2500 2625 2750
 2875 3000 3125 3250 3375 3500 3625 3750 3875 4000 4125 4250 4375 4500 4625
 4750 4875]",6,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[  5.58196683e-04  -1.67591599e-04   3.56494595e-04   1.02950391e-04
  -7.40602380e-04   1.96126057e-04  -4.35812835e-05  -3.15869256e-04
   1.12107664e-04   2.95671314e-04  -7.87444151e-05   1.04435452e-03
   7.22435769e-04  -9.60922916e-05   3.94014816e-04  -4.42155986e-04
  -2.26969714e-05   1.69272185e-04   3.75985604e-04   1.50712673e-04
  -5.63563604e-04   2.31852377e-04  -5.28518067e-05  -2.51415950e-05
  -9.32632131e-04  -6.07931870e-04  -1.42154153e-04  -9.45870561e-05
   2.17889683e-05   3.67434870e-04  -3.27146045e-05  -1.13051225e-04
  -2.17205350e-04   5.23455266e-04   5.13579580e-04  -5.38248220e-04
  -6.24796012e-05  -1.08253059e-03   1.06576714e-03   1.80082105e-04
  -4.56239388e-04   8.34688195e-04  -2.31385406e-04   4.16088005e-04
   1.25318969e-04   6.75784599e-04  -6.68807661e-06   4.74418135e-04
   2.61340610e-04  -9.52008122e-06  -3.69045680e-04  -3.61941464e-04
  -6.06272719e-04  -3.72977869e-04   3.42317682e-04   1.53534857e-05
  -2.98417406e-03   9.23886546e-05  -4.49102983e-04   3.45348148e-04
  -1.14383343e-04  -6.74430776e-05   1.58159266e-04   2.73433281e-04
  -4.79469192e-04  -5.58004365e-04   8.99825827e-04   4.79782000e-04
   3.09266688e-05  -4.03516489e-04   7.59738148e-04   1.94141525e-04
   4.97796456e-04  -9.58765449e-05  -4.54703317e-04  -1.66249141e-04
  -2.49471370e-04  -3.80725105e-04   2.86384486e-04  -3.67619970e-04
  -7.79524329e-04  -3.67002795e-04   4.51188826e-04  -3.01439024e-04
  -5.50411642e-06   3.60835227e-04   9.91792476e-05  -1.71199834e-04
  -2.65443139e-03   1.24155381e-03   2.49560457e-04  -5.54428902e-04
  -4.06776730e-04  -2.37857545e-04   1.67867343e-04   1.49658794e-04
  -6.37983670e-04  -1.14336202e-04   1.83055337e-04  -1.24333295e-04
   1.24305865e-04  -1.06607484e-04   2.07021920e-04  -9.29150992e-05
  -2.17099616e-04  -4.79298818e-04   3.19762330e-06  -7.15655915e-06
   3.11117183e-05  -7.84787524e-04  -3.23489774e-04   6.80108264e-04
  -5.84563422e-05   2.13505351e-04   3.50332441e-04  -8.16550164e-06
   1.01055426e-04   9.00489686e-04  -6.28685084e-05   9.03529697e-04
  -3.38440901e-03   4.30147891e-04  -9.69259767e-04   4.73309832e-04
   6.56876364e-05  -9.97846510e-05   1.20383833e-04   7.10505643e-04]","[ -1.61544816e-03  -7.44673947e-04  -4.69237391e-04   5.09480014e-04
  -5.95344063e-05  -9.53083800e-04   4.50124615e-04  -3.60504375e-04
   7.84689095e-04   1.86799152e-05  -3.25513713e-04  -5.48572629e-04
   7.17139628e-05  -5.18054061e-04  -4.40718693e-04   4.75085428e-04
   9.04780638e-04   6.20089821e-04  -5.20532078e-04  -2.14937871e-04
   9.22789215e-04  -1.93412779e-04   4.26726911e-06   2.71070166e-04
   5.90863824e-03  -1.35813141e-04  -2.15121079e-04   7.97383604e-04
  -7.16736482e-04   8.72546298e-05   3.56141216e-04  -6.36698562e-04
  -1.94211490e-03  -3.74428462e-04  -3.70533562e-05   1.69507880e-03
  -2.26327917e-04  -5.79711981e-04   1.51393891e-04   6.86364947e-04
   6.64243824e-04  -6.96837233e-05   2.76774052e-04   2.45852658e-04
   3.10005125e-04   6.58004603e-04   1.64604251e-04   4.09586530e-04
  -2.06727564e-04  -7.83785188e-04  -1.17170322e-03   1.59558869e-04
   3.48770845e-04   1.61895703e-04   3.24236491e-04   1.85835888e-04
   2.64675217e-03   3.18591410e-05  -3.19276791e-04   3.08869552e-04
   3.29582952e-04   4.65714285e-04   2.66915129e-04   6.14101882e-04
  -1.27112784e-03  -1.16850744e-04   1.83629178e-04  -7.62139389e-05
   6.92635542e-04   6.23494445e-04   1.47722685e-03   5.06218930e-06
  -1.75134381e-04  -4.70111816e-04  -3.53415264e-04  -2.86831491e-04
  -3.80014622e-04  -2.61910376e-04  -4.60318959e-04   1.52125896e-04
   3.49085167e-04   1.16681760e-04  -4.61806958e-05   5.07296645e-04
  -9.45229040e-05  -2.25491152e-04  -4.83716489e-04  -4.62979369e-05
   3.06632975e-03   3.86780361e-04   1.27000152e-04  -1.84627672e-04
  -3.93710798e-05   8.64153670e-04  -7.92008941e-04  -3.20096675e-04
   1.24824070e-03  -8.05215735e-04   2.89816089e-04   2.78276333e-04
  -2.82803987e-04  -6.80802856e-04  -6.04319444e-04  -4.98213922e-04
  -1.68710438e-04   1.55661197e-04  -1.84579694e-04  -5.48372685e-04
  -8.91342177e-04  -5.27153665e-04  -4.96453140e-04   2.99998996e-04
   5.78602194e-04   8.33073864e-06  -3.67950823e-04  -6.22941006e-04
   5.53685124e-04   5.72591780e-05   6.40054699e-04   3.20356863e-04
   2.44451873e-03  -1.13676360e-05  -4.41388111e-05  -5.35212057e-05
  -4.82362928e-04   5.76999504e-04   8.46473558e-05   6.74132258e-04]",,202000,audio/signals_f,,,,
,0.0,0.0,,7,,,,,,,,90.0,202010,geometry/pose_raw,,-24.425586700439453,0.376255601644516,0.0
,0.0,0.0,,8,,,,,,,,90.0,202019,geometry/pose_raw,,-24.425155639648438,0.2676640748977661,0.0
,0.0,0.0,,9,,,,,,,,90.0,202028,geometry/pose_raw,,-24.42340087890625,0.07546953111886978,0.0
,0.0,0.0,,10,,,,,,,,90.0,202046,geometry/pose_raw,,-24.42372703552246,0.007638418115675449,0.0
,0.0,0.0,,11,,,,,,,,90.0,202053,geometry/pose_raw,,-24.42400360107422,-0.17006200551986694,0.0
,0.0,0.0,,12,,,,,,,,90.0,202059,geometry/pose_raw,,-24.424875259399414,-0.1903693526983261,0.0
,,,,13,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,202065,crazyflie/motors,,,,
,0.0,0.0,,14,,,,,,,,90.0,202069,geometry/pose_raw,,-24.424274444580078,-0.025839196518063545,0.0
,0.0,0.0,,15,,,,,,,,90.0,202079,geometry/pose_raw,,-24.423324584960938,-0.001988020958378911,0.0
,0.0,0.0,,16,,,,,,,,90.0,202089,geometry/pose_raw,,-24.424190521240234,-0.08452427387237549,0.0
,0.0,0.0,,17,,,,,,,,90.0,202100,geometry/pose_raw,,-24.423688888549805,0.0015489653451368213,0.0
,0.0,0.0,,18,,,,,,,,90.0,202108,geometry/pose_raw,,-24.423398971557617,-0.19319413602352142,0.0
