audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,73175,geometry/pose_raw,,123.41426086425781,0.17148686945438385,0.0
,,,,1,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,73180,crazyflie/motors,,,,
,0.0,0.0,,2,,,,,,,,90.0,73184,geometry/pose_raw,,123.41439056396484,0.048486433923244476,0.0
,0.0,0.0,,3,,,,,,,,90.0,73193,geometry/pose_raw,,123.41621398925781,-0.06479334086179733,0.0
,0.0,0.0,,4,,,,,,,,90.0,73210,geometry/pose_raw,,123.4173812866211,-0.27686330676078796,0.0
,0.0,0.0,,5,,,,,,,,90.0,73216,geometry/pose_raw,,123.41963195800781,-0.32164186239242554,0.0
,0.0,0.0,,6,,,,,,,,90.0,73223,geometry/pose_raw,,123.41988372802734,-0.24135594069957733,0.0
,0.0,0.0,,7,,,,,,,,90.0,73235,geometry/pose_raw,,123.4216537475586,-0.10519485175609589,0.0
323868506,,,"[1000 1125 1250 1375 1500 1625 1750 1875 2000 2125 2250 2375 2500 2625 2750
 2875 3000 3125 3250 3375 3500 3625 3750 3875 4000 4125 4250 4375 4500 4625
 4750 4875]",8,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[ -4.97925561e-03  -4.50446300e-04  -1.90785062e-03   2.45615537e-03
   2.84504518e-03   4.94720443e-05   3.25711584e-03  -1.12331356e-03
   2.24891142e-03  -4.86225967e-04  -1.52855809e-03   1.46719953e-03
  -4.25835256e-04  -7.27869105e-04  -2.34539475e-05   1.30476523e-03
  -2.59272842e-04   4.71414824e-05  -1.31638022e-03   3.72650538e-06
   1.97812260e-04  -6.29883143e-04  -2.14594678e-04   1.74615951e-03
  -1.64585945e-03  -1.35203986e-03   3.64691834e-04  -5.08690136e-04
  -6.21318119e-04   2.38164328e-04  -9.21989849e-04  -4.12967318e-04
  -7.56965426e-04  -1.43830082e-03  -2.14973115e-03   2.95481225e-03
   2.97243916e-03   3.81006207e-03  -2.43567032e-04   1.24272867e-03
  -6.26356748e-04   2.90139520e-04  -1.26813760e-03   8.20427493e-04
   1.14629103e-04   2.45187752e-04  -1.03197899e-03  -9.98346601e-04
  -5.31488506e-04   7.27898674e-04  -9.22098814e-04  -1.08634215e-03
  -7.84119009e-04   5.96155063e-04   4.35494061e-04   4.15782270e-04
   2.09229207e-03  -7.67966092e-04   2.47776159e-04   1.33218258e-04
  -1.15790649e-03   1.10271285e-04  -4.72762295e-05   1.19563716e-04
  -1.35569705e-03  -1.85544300e-03   4.14346764e-03  -4.64317668e-03
  -2.37683393e-03  -6.87934342e-04  -4.03896353e-04  -6.64741150e-04
   7.52916909e-04  -9.83554404e-04  -4.58537164e-04  -1.00955076e-05
  -1.56373280e-05   4.90089180e-04  -6.75397343e-04   2.09502032e-05
   1.45393598e-03  -8.93694523e-04  -1.57047703e-04   4.46804275e-04
  -1.58648894e-04  -2.28204721e-04  -3.98740318e-04   4.14719223e-04
  -9.51553870e-04  -7.65047851e-04   6.26168621e-04   7.74099783e-04
   1.07366766e-04  -1.93381551e-04   9.09980881e-05   1.33860114e-04
  -1.71427545e-03  -4.82006930e-03  -1.29978627e-03  -3.86925647e-04
   2.34384346e-03   1.41802547e-03  -2.43573333e-03   1.16467488e-03
  -1.51114468e-03   2.95876147e-04   1.36683299e-03  -1.83318590e-03
  -5.27505181e-04  -1.77591387e-03   1.36953429e-04  -1.01211760e-03
   5.54078899e-04  -5.36434760e-04  -1.40155351e-03   1.72436237e-04
   2.74867431e-04   3.42881685e-04  -1.43972982e-04   1.83353288e-04
   1.49961933e-03  -4.79677634e-04  -5.34437597e-04   5.64059766e-04
  -5.69901953e-04  -2.67060474e-04  -9.67016153e-04   2.20135582e-04]","[ -1.31556811e-03   9.71494519e-05   1.25509559e-03   2.15703761e-03
  -1.70423323e-03  -1.31686660e-03  -1.36617431e-03  -8.79576663e-04
   2.59327615e-04   5.34822466e-04  -1.41802849e-03  -1.22889876e-03
   2.14149593e-04   1.33211317e-04   3.75769887e-04  -1.43242232e-03
   2.18236353e-03  -1.44878007e-03  -1.25876535e-03  -3.66480206e-04
  -3.42360931e-04  -4.06213134e-04   4.33976151e-04  -3.59587517e-04
  -2.37891171e-03   2.66402029e-04   8.45163595e-05   2.49465636e-04
   1.59673291e-04   2.21102528e-04  -9.52788745e-04   2.88478128e-04
   2.92103126e-04   2.45904899e-03  -2.73992494e-03   2.26062606e-04
   1.54203072e-03  -1.98304281e-03  -5.71482497e-06   4.53908899e-04
  -6.12647389e-04  -2.27933720e-04  -1.54517998e-04   1.81626226e-03
   7.81771727e-04   1.56344287e-03   9.02590982e-04   1.54366673e-04
   2.52165744e-04   2.30962614e-05  -8.41295114e-05   1.02929931e-04
  -4.48071543e-04   7.05731363e-05   8.23181530e-04  -8.44212409e-05
  -3.79409001e-04  -6.92251895e-04  -5.13527601e-04  -5.16592525e-04
  -8.37677158e-04   1.74824265e-04   2.77960789e-04   1.03154664e-04
  -5.51636890e-03  -1.44406804e-03   2.91731302e-03  -2.27699312e-03
  -1.78651314e-03   3.37870966e-04   8.38395936e-05  -1.94179139e-03
  -7.00443852e-05   3.23444430e-04  -8.55671242e-04  -1.35824701e-03
   6.10332761e-04   3.80473386e-04   7.79795810e-04   5.25039737e-04
   6.60351128e-04   2.15519423e-04   1.57799775e-04   8.60463246e-04
   2.43940594e-04   2.25944939e-04   1.62379161e-04   3.87730484e-04
   2.89827003e-05   1.71374087e-03   9.80057172e-04   4.39733500e-04
  -9.04845539e-04   9.75668081e-05   1.40519842e-04   2.98779021e-04
  -3.77237774e-03  -1.10074482e-03   2.50918278e-03  -3.21890833e-03
   2.30788207e-03  -2.46137567e-03  -2.75751017e-03   1.63580186e-03
   1.46686181e-03  -1.07352331e-03  -8.15207779e-04  -1.12533313e-03
  -1.71985163e-03  -9.16705467e-05   2.80178245e-03   3.59213271e-04
  -4.47438937e-03   1.27145995e-05   5.83133195e-04  -3.38537502e-04
  -4.05291154e-04   1.92374922e-03  -8.70947260e-04  -5.38406020e-04
  -2.58028158e-03  -5.10423910e-04   1.38773606e-03   2.34761712e-04
  -8.46291776e-04  -2.10924642e-04  -6.70656154e-04   9.31173126e-05]",,73238,audio/signals_f,,,,
,0.0,0.0,,9,,,,,,,,90.0,73243,geometry/pose_raw,,123.42196655273438,0.24085284769535065,0.0
