audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,717061,geometry/pose_raw,,132.33189392089844,-0.022165145725011826,0.0
959571994,,,"[1000 1125 1093 1156 1375 1046 1468 1187 1109 1406 1328 1031 1015 1546 1531
 1218 1500 1062 1234 1359 1484 1703 1593 1250 1671 1453 1171 1203 1515 1343
 1734 4000]",1,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[  2.50116433e-03  -2.15897872e-03   2.38116272e-03  -7.10150489e-05
   1.09082321e-03  -4.35017003e-03  -2.43453681e-03   1.38047291e-03
   1.82426895e-03   7.17292714e-04   1.12006569e-03   9.14048112e-04
   1.04086718e-03   2.94560567e-03   1.13437802e-03  -2.44352571e-03
  -3.06381308e-03  -5.67523995e-04   5.62797301e-04   1.73195219e-03
   7.34698842e-05   3.62172863e-03  -1.36916363e-03  -6.90819987e-04
  -2.97511142e-04  -4.99626040e-05  -6.89340231e-04   1.24460005e-03
   1.06493838e-03  -1.02810911e-03   1.10369688e-03   2.52359267e-03
   1.56795210e-03  -2.58460362e-03   3.21135600e-03  -1.85628931e-04
   1.77275576e-03  -2.04738067e-03   3.13435710e-04   8.75898055e-04
   2.06795940e-03  -2.18687160e-03   2.39817705e-03   1.21156059e-04
   3.71879694e-04   6.64037128e-04   2.81614077e-04   3.68639536e-04
  -2.67704553e-03  -1.71904836e-03   1.11180521e-03  -1.63068541e-03
   1.68720074e-03  -1.22608431e-03  -2.04285752e-04   1.25454296e-03
  -3.86033644e-04   1.04812952e-03  -2.23278557e-03  -2.16378903e-04
  -6.73736795e-04  -5.15227963e-04  -9.15541663e-04  -1.38387911e-03
   3.75610311e-03  -1.87742547e-03   1.95680605e-03   3.24416300e-03
  -6.61920989e-04  -9.29327449e-04   1.79177138e-03   2.35066772e-03
   2.09701117e-04  -3.12685617e-04   1.21084659e-03  -1.39537477e-03
  -9.88830114e-04  -1.15372671e-03  -1.96419680e-03  -4.60299489e-04
   9.51864058e-05   9.32858326e-04  -6.06742688e-04   1.01706049e-04
   1.44739740e-03  -1.27164682e-03  -1.38594944e-03   1.63835648e-04
   8.07601959e-04  -2.61081127e-03  -1.04666816e-03  -2.89515057e-03
   2.20988202e-03   2.62859321e-05  -9.76332740e-06   1.63565762e-03
   6.40818151e-04  -3.02034197e-03   1.26300947e-04   2.57729483e-03
   4.26019455e-04   1.09878881e-03   2.63036648e-03  -4.61236952e-04
   2.69816699e-03  -4.43182653e-05  -1.50213891e-03   1.68396346e-03
   3.14790086e-04   3.03026900e-05   6.18423510e-05  -1.82970776e-04
   3.17335501e-03  -1.02399732e-03   2.50515575e-03  -4.85227909e-04
  -2.78384029e-03   9.79712931e-05  -5.16952568e-05   1.41603162e-03
   2.00166414e-03   1.29828742e-03   4.11776884e-04  -1.16753078e-03
  -1.52398064e-03  -2.92129954e-03   2.11790833e-03  -2.10801419e-03]","[ -1.95510656e-04  -1.36856153e-03  -2.06943112e-03  -7.96297798e-04
   5.02773095e-04   3.36800748e-03  -2.76769022e-03   1.73515570e-03
   4.15305747e-03   2.93130346e-04   1.41004031e-03   5.08716257e-05
  -2.08998541e-03   1.61825796e-03   6.03130320e-06   1.51451933e-03
  -2.27066595e-03   4.92802123e-04  -2.87277438e-03   4.04885999e-04
   8.32328631e-04  -3.23672802e-03  -1.94831705e-03   2.71097478e-03
  -2.62711314e-03   2.11973488e-03  -2.31140037e-03  -6.89389184e-04
   3.97539872e-04  -3.01368861e-03   2.45045940e-03   1.19023770e-03
  -2.16396595e-03  -6.16837409e-04  -3.42637795e-04   1.38425879e-04
  -1.80731446e-03   2.16331240e-03  -3.17189284e-03  -8.28271586e-05
   9.27638612e-04  -2.24864669e-03   8.32293765e-04  -1.09460508e-03
   5.19514200e-04  -1.64758996e-03   2.45346897e-03   1.13298954e-03
  -1.33812646e-04   1.38475304e-03  -2.76386971e-03   1.61533989e-03
   3.32450634e-03  -6.73516479e-06  -5.70602540e-04   5.09344449e-04
   1.20558124e-03   6.52139948e-04  -5.93348173e-04   2.45595671e-04
   2.33058864e-03   1.74190162e-03  -5.32721577e-04   9.48574743e-04
  -8.31714424e-04  -4.25587362e-03  -6.66728767e-04  -1.56648550e-03
   3.15908599e-03   1.80076552e-03  -3.15046543e-03   1.85717968e-03
  -1.03697716e-03   2.89709074e-03  -4.36546834e-04   4.12664935e-03
  -2.66459724e-03  -2.67849327e-03  -6.55538286e-04   8.93532415e-04
   3.02035967e-03   1.99280307e-03   3.64483712e-04  -2.29681405e-04
   3.02239001e-04   2.22968450e-03   4.26114158e-04   3.64884938e-04
  -1.65030546e-03  -1.44963444e-04  -2.34942930e-03   1.88737409e-03
   1.58610591e-03  -6.17236656e-04   2.11360137e-04  -1.42580131e-04
  -1.90152996e-03   1.29059248e-03  -7.12900364e-04  -2.32232409e-03
   3.13903647e-03  -1.05501071e-03   3.83043749e-04   2.68231123e-03
  -1.59158849e-03  -2.64737289e-04  -1.77123444e-03   3.11530981e-04
  -1.03128073e-03  -1.24514080e-03  -1.86563726e-03   1.46723265e-04
   1.05108903e-03   5.02715644e-04   1.00212940e-03  -1.05624518e-03
  -5.56886662e-04   1.35401485e-03   3.06420319e-04   3.91625217e-04
  -9.81414691e-04  -2.47455039e-03   6.78552373e-04  -1.15241739e-03
   3.82809696e-04   8.02866707e-04  -2.10778113e-03   1.96455070e-03]",,717066,audio/signals_f,,,,
,0.0,0.0,,2,,,,,,,,90.0,717068,geometry/pose_raw,,132.3332977294922,-0.027308551594614983,0.0
,0.0,0.0,,3,,,,,,,,90.0,717085,geometry/pose_raw,,132.33387756347656,-0.08997898548841476,0.0
,0.0,0.0,,4,,,,,,,,90.0,717092,geometry/pose_raw,,132.3339080810547,0.0544859804213047,0.0
,0.0,0.0,,5,,,,,,,,90.0,717098,geometry/pose_raw,,132.3349151611328,-0.02329171448945999,0.0
,,,,6,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,717106,crazyflie/motors,,,,
,0.0,0.0,,7,,,,,,,,90.0,717110,geometry/pose_raw,,132.33453369140625,0.1067727580666542,0.0
,0.0,0.0,,8,,,,,,,,90.0,717118,geometry/pose_raw,,132.3354034423828,-0.09898126125335693,0.0
,0.0,0.0,,9,,,,,,,,90.0,717126,geometry/pose_raw,,132.33534240722656,-0.18819773197174072,0.0
,0.0,0.0,,10,,,,,,,,90.0,717139,geometry/pose_raw,,132.3359375,0.029572507366538048,0.0
,0.0,0.0,,11,,,,,,,,90.0,717147,geometry/pose_raw,,132.33692932128906,-0.2785683274269104,0.0
,0.0,0.0,,12,,,,,,,,90.0,717157,geometry/pose_raw,,132.337646484375,-0.07326196134090424,0.0
,0.0,0.0,,13,,,,,,,,90.0,717170,geometry/pose_raw,,132.33816528320312,-0.03845439478754997,0.0
,0.0,0.0,,14,,,,,,,,90.0,717177,geometry/pose_raw,,132.33843994140625,0.007405909709632397,0.0
