audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,-4.0,4.0,,0,,,,,,,,90.0,33779,geometry/pose_raw,,0.10676659643650055,0.1791776418685913,17.0
,3.0,-3.0,,1,,,,,,,,90.0,33785,geometry/pose_raw,,0.10510323941707611,-0.13093844056129456,17.0
,,,,2,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,33789,crazyflie/motors,,,,
46362280,,,"[  0  93 109 125 140 187 171 203 218 265 281 250 343 359 328 296 156 375
 421 437 406 500 515 234 484 453 578 593 656 531 312 562]",3,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[  2.28881836e-05   1.76200494e-02   1.37519361e-02   7.27630686e-03
  -3.83610791e-03  -9.05700028e-03   1.76235754e-03  -1.75153883e-03
   4.89267102e-03  -1.75503790e-02   3.17619415e-03   4.66350652e-03
   2.44123815e-03  -1.60881551e-03   2.77019432e-03  -1.49760721e-03
   1.25670638e-02  -1.03493431e-03   3.15810507e-03   2.39122752e-03
  -1.55084021e-03  -1.35623291e-03  -4.96053975e-03   4.45549656e-03
   1.76520291e-04   1.62578479e-03   1.48105877e-03   3.15823068e-04
  -5.03124029e-05  -3.91677895e-04   9.20541177e-04  -9.37908946e-04
  -1.94549561e-04   1.90525353e-02   1.04032522e-02   1.24881882e-02
  -3.29338526e-03  -5.21657756e-03  -9.40298196e-04   2.86803162e-03
   3.72511800e-03  -1.23598790e-02  -7.04318692e-04   3.95340472e-03
   1.20394980e-03  -3.03817960e-03   3.07930540e-03   2.93745979e-04
   1.02452841e-02  -2.23754416e-03   3.19953891e-03   9.13981232e-04
   2.93527381e-04   1.23446196e-04  -4.13528411e-03   2.27942411e-03
   1.49523054e-04   1.67199306e-03   2.93173187e-04  -6.80833822e-04
  -5.67495241e-04   4.61936404e-04   3.16170277e-04  -1.47323910e-04
  -2.00271606e-04   1.78592633e-02   7.27431383e-03   9.02013108e-03
  -2.63503101e-03  -6.75542094e-03  -3.50192119e-03   2.50822306e-03
   3.44647933e-03  -1.37473699e-02  -2.82615679e-03   3.49953189e-03
   2.46627023e-03  -6.00204512e-05   2.56000040e-03  -1.38858275e-03
   7.75709329e-03  -2.11050012e-03  -1.30275337e-04   4.70781961e-04
   4.01986158e-03  -1.32854923e-03  -2.90025631e-03   5.34705399e-03
  -1.03348773e-03   3.09778610e-04   1.86620076e-04   7.51553976e-04
  -1.18899054e-03   6.34780503e-04   1.15512544e-03  -8.63315188e-04
  -6.29425049e-05   1.54393744e-02   1.11947814e-02   8.45890306e-03
  -6.65547512e-03  -7.15783052e-03  -5.25114825e-04   4.87144850e-03
   8.25262442e-03  -9.88802128e-03  -5.97980851e-03   2.73962528e-03
   1.76197290e-03  -2.16370041e-04   5.41934860e-05  -5.93054574e-05
   6.49403688e-03  -2.48372275e-03   6.46852306e-04   1.71534100e-03
   1.57636299e-03  -1.77738606e-03  -1.62248546e-03   3.10054980e-03
  -1.66720140e-03   1.19535415e-03   9.41812294e-04   1.33076814e-04
  -1.19673554e-04   1.40689849e-03   1.59316708e-03   1.57866220e-03]","[ -5.34084816e+01   2.09639692e+00   1.32634687e+00   7.08615899e-01
   2.56533921e-01  -1.56056792e-01  -1.34933382e-01  -1.37860298e-01
  -5.45356721e-02   5.62630370e-02   4.48644683e-02   3.41757797e-02
  -2.41943747e-02  -1.58490222e-02  -1.97023377e-02   1.56601444e-02
  -2.59095570e-03  -9.97087173e-03   9.34607536e-03   1.04476092e-02
   8.60006548e-03  -7.47607276e-03  -6.88221492e-03   3.11744260e-03
  -4.20074537e-03   5.05975308e-03   3.59789166e-03   5.26209269e-03
  -5.84158348e-03  -3.79752927e-03  -2.24515377e-03   3.99701856e-03
  -5.11540642e+01   2.00535202e+00   1.27149212e+00   6.78329825e-01
   2.50601828e-01  -1.51878446e-01  -1.27263218e-01  -1.29702300e-01
  -5.24897501e-02   4.87465709e-02   4.47398722e-02   2.96588391e-02
  -2.23986376e-02  -1.57990903e-02  -1.86094791e-02   1.57249905e-02
  -4.99100983e-03  -9.37536452e-03   1.11004058e-02   9.73308738e-03
   8.52773152e-03  -7.22826552e-03  -7.60683930e-03   4.48778179e-03
  -4.83729318e-03   3.06544197e-03   2.55701458e-03   5.05658193e-03
  -4.72347671e-03  -1.87108747e-03  -1.59634301e-03   3.16556473e-03
  -4.69808655e+01   1.84712410e+00   1.17235184e+00   6.14015996e-01
   2.20359802e-01  -1.31383985e-01  -1.21864825e-01  -1.24335222e-01
  -4.44515161e-02   4.89057228e-02   4.20097858e-02   3.05337291e-02
  -2.13896725e-02  -1.23293288e-02  -1.55096240e-02   1.19376611e-02
   4.80772462e-04  -1.02355182e-02   7.42163416e-03   1.03708953e-02
   5.69060259e-03  -6.69905730e-03  -4.50629927e-03   3.26548656e-03
  -4.24288772e-03   3.88904731e-03   4.17767651e-03   3.12256953e-03
  -2.34220363e-03  -2.82497983e-03  -1.91389094e-03   2.71899439e-03
  -5.16714325e+01   2.02853489e+00   1.28394711e+00   6.84507906e-01
   2.50265062e-01  -1.49196416e-01  -1.30420744e-01  -1.38500124e-01
  -4.77189608e-02   4.92461547e-02   4.62343469e-02   3.22639644e-02
  -2.24051345e-02  -1.83599629e-02  -1.73085202e-02   1.75098144e-02
  -6.02975255e-03  -1.22931115e-02   1.06780268e-02   9.96666774e-03
   7.66236521e-03  -8.56500119e-03  -7.39546260e-03   3.63299251e-03
  -4.14935779e-03   5.90740796e-03   2.95704184e-03   3.19659617e-03
  -3.21836467e-03  -2.59430194e-03  -1.91779726e-03   3.84453568e-03]",,33791,audio/signals_f,,,,
,0.0,8.0,,4,,,,,,,,90.0,33795,geometry/pose_raw,,0.10572690516710281,0.22308777272701263,16.0
,0.0,-10.0,,5,,,,,,,,90.0,33800,geometry/pose_raw,,0.10587829351425171,0.14440609514713287,16.0
,-2.0,0.0,,6,,,,,,,,90.0,33809,geometry/pose_raw,,0.10787203907966614,-0.06557603180408478,16.0
,0.0,0.0,,7,,,,,,,,90.0,33819,geometry/pose_raw,,0.1075618788599968,0.05492975935339928,16.0
,2.0,16.0,,8,,,,,,,,90.0,33829,geometry/pose_raw,,0.10866585373878479,0.20106828212738037,19.0
,-15.0,5.0,,9,,,,,,,,90.0,33838,geometry/pose_raw,,0.11686818301677704,-0.2242906242609024,19.0
