audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,-9.0,9.0,,0,,,,,,,,90.0,26873,geometry/pose_raw,,0.04706777632236481,0.14579573273658752,19.0
47504676,,,"[  0  93 109 125 140 187 171 203 218 265 250 281 343 296 359 328 156 421
 375 437 500 406 515 453 484 593 234 562 531 312 656 671]",1,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[  4.44412231e-04   1.78242829e-02   1.13318227e-02   7.43933674e-03
  -3.72909103e-03   1.28827048e-02  -2.96371826e-03  -3.59657570e-03
  -3.09628248e-03   6.03311183e-03  -4.65221528e-04  -1.72814587e-03
   2.22706760e-04  -1.06665981e-03  -2.70554610e-03  -2.78190215e-04
   8.15930869e-03   1.53819984e-03  -1.80271891e-04   8.79708794e-04
   1.22692180e-03   1.27496803e-03  -1.63095014e-04  -1.00911956e-03
   8.79134750e-04   1.42572419e-04  -5.15495939e-03  -8.93382967e-05
  -7.15282280e-04   1.35387189e-03  -2.65043834e-03  -4.94926207e-05
  -1.90734863e-06   1.53967626e-02   8.29246547e-03   1.27797732e-02
   2.19759857e-03   1.28853703e-02  -3.59085528e-03  -5.09546464e-03
  -2.70239892e-03   4.42890171e-03  -2.09448370e-03   3.35390121e-03
  -1.25754392e-04   1.05157320e-04  -1.14300963e-03  -2.25537829e-03
   7.49568827e-03  -5.37370564e-04  -1.55265233e-03   3.22116888e-04
   8.85443180e-04   2.09714612e-03  -1.57478987e-03  -6.74261944e-04
   1.15127885e-03   3.25371569e-04  -4.85288119e-03  -1.26792968e-03
   8.58893036e-05  -7.54615699e-04  -1.23603793e-03  -1.23809950e-04
  -2.09808350e-05   1.18598305e-02   6.92689512e-03   1.29775964e-02
  -6.07712660e-03   1.31668057e-02   5.20237023e-04  -9.08328220e-03
  -3.83976055e-03   5.85164083e-03  -1.62718864e-03  -1.83446519e-03
  -2.62645073e-04   1.46642840e-03  -7.73890992e-04  -7.92342238e-04
   7.28141563e-03  -3.36965517e-04   9.91024426e-04  -1.68798736e-03
  -1.24828611e-03   4.91384359e-04   2.62104149e-04   1.06090785e-03
   1.64276629e-04   1.82596239e-04  -2.98488582e-03   1.17761758e-03
  -4.05624975e-04  -1.79507351e-03  -9.00119019e-04   1.84739754e-03
  -6.10351562e-05   1.38328541e-02   1.01533271e-02   1.54097807e-02
   1.58834155e-03   1.05637461e-02  -6.91814069e-03  -1.15721542e-02
  -1.71915570e-03   4.85519134e-03  -1.36347476e-03   3.52837960e-03
  -3.68086854e-04   2.42567877e-03  -1.45536300e-03   8.13887804e-04
   5.52191725e-03  -5.19081485e-04  -3.39017599e-04  -6.27720903e-04
  -1.71155494e-04   2.41447240e-04  -6.94260933e-04   1.22812297e-03
   2.54172948e-03   1.35154711e-04  -5.16641326e-03   6.55817683e-04
  -8.58359330e-04  -2.55462178e-03   8.45675968e-05   8.30074714e-05]","[ -5.31605377e+01   2.08216333e+00   1.30458510e+00   7.14005709e-01
   2.58214086e-01  -1.67373285e-01  -1.20575368e-01  -9.52441692e-02
  -6.47080690e-02   3.87709886e-02   3.77613604e-02   3.29195075e-02
  -2.22873762e-02   1.64322257e-02  -1.94004215e-02  -1.44448616e-02
  -8.27044342e-03   1.16986185e-02  -1.06055439e-02   9.65547562e-03
  -8.05739127e-03   7.33742397e-03  -6.81150798e-03   6.27161609e-03
  -5.90364728e-03   5.04608266e-03   4.32450528e-04   3.82303260e-03
  -3.83642362e-03  -2.39157677e-03  -3.45486868e-03  -2.78185913e-03
  -5.10552673e+01   1.99498463e+00   1.25464892e+00   6.83367789e-01
   2.51505315e-01  -1.60217255e-01  -1.14469126e-01  -9.83425379e-02
  -6.26691431e-02   3.90428677e-02   3.53719071e-02   3.58263627e-02
  -2.04368513e-02   1.62901953e-02  -1.77219696e-02  -1.49680860e-02
  -9.73817427e-03   1.13223521e-02  -1.00461524e-02   9.03772563e-03
  -7.84189813e-03   7.40084099e-03  -5.84228057e-03   6.55736029e-03
  -6.74545299e-03   3.27954325e-03   2.40666047e-03   3.35626258e-03
  -3.43169831e-03  -2.19507189e-03  -3.02747311e-03  -3.20478808e-03
  -4.67935944e+01   1.83181310e+00   1.14182997e+00   6.30261540e-01
   2.25614354e-01  -1.52210861e-01  -1.03823952e-01  -7.43173212e-02
  -5.76425381e-02   3.06980107e-02   3.60002443e-02   2.76212133e-02
  -1.73414610e-02   1.45906620e-02  -1.66288279e-02  -1.29232313e-02
  -3.95422336e-03   1.12926895e-02  -1.08160330e-02   1.03948433e-02
  -8.47569294e-03   6.08265772e-03  -4.85109258e-03   4.38156910e-03
  -5.37088187e-03   5.02646668e-03  -3.56878294e-03   3.46588949e-03
  -3.41049163e-03  -4.49781946e-04  -2.52268370e-03  -2.73612514e-03
  -5.14540939e+01   2.01095819e+00   1.26466799e+00   6.88312113e-01
   2.47902438e-01  -1.60643041e-01  -1.18251868e-01  -9.26086754e-02
  -6.24830499e-02   4.16992456e-02   3.66595015e-02   3.31971012e-02
  -1.91250890e-02   1.65038500e-02  -1.83023065e-02  -1.53334122e-02
  -7.65889883e-03   1.12429066e-02  -1.18757654e-02   1.01548024e-02
  -8.76697525e-03   8.22958536e-03  -5.84434904e-03   4.93606087e-03
  -5.16716950e-03   3.58511601e-03  -2.64634332e-03   3.51202209e-03
  -4.58823051e-03  -2.88318889e-03  -2.51644431e-03  -2.95003690e-03]",,26877,audio/signals_f,,,,
,9.0,-4.0,,2,,,,,,,,90.0,26881,geometry/pose_raw,,0.04529082030057907,-0.06182156503200531,19.0
,,,,3,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,26886,crazyflie/motors,,,,
,0.0,0.0,,4,,,,,,,,90.0,26890,geometry/pose_raw,,0.04450364410877228,0.07992254942655563,19.0
,1.0,-5.0,,5,,,,,,,,90.0,26901,geometry/pose_raw,,0.0405445359647274,-0.06077698618173599,19.0
,-9.0,0.0,,6,,,,,,,,90.0,26910,geometry/pose_raw,,0.040500085800886154,-0.13129371404647827,24.0
,0.0,0.0,,7,,,,,,,,90.0,26921,geometry/pose_raw,,0.03990838676691055,0.07271340489387512,24.0
,3.0,6.0,,8,,,,,,,,90.0,26931,geometry/pose_raw,,0.04485035687685013,-0.012443491257727146,24.0
,5.0,-1.0,,9,,,,,,,,90.0,26941,geometry/pose_raw,,0.044738125056028366,-0.22210927307605743,24.0
