audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,-8.0,8.0,,0,,,,,,,,90.0,60121,geometry/pose_raw,,0.13346685469150543,0.14266566932201385,12.0
,8.0,-3.0,,1,,,,,,,,90.0,60133,geometry/pose_raw,,0.1327202469110489,0.04362478107213974,11.0
,,,,2,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,60136,crazyflie/motors,,,,
,-4.0,0.0,,3,,,,,,,,90.0,60141,geometry/pose_raw,,0.14299505949020386,-0.07780123502016068,11.0
,-4.0,-1.0,,4,,,,,,,,90.0,60151,geometry/pose_raw,,0.13514384627342224,0.06423752009868622,11.0
74037005,,,"[   0 4000 4015 4109 1156 4062 1281 1140 3000 4140 1046 3984 4078 3953 1062
 1031 4046 1234 4156 2656 4187 4031 4171 4203 1218 1375 1265 1125 2750 4125
 2671 1109]",5,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[ -2.67028809e-05  -4.37057856e-03  -1.85384729e-03   1.03039987e-04
  -1.04954594e-03   8.61949811e-04   1.51546759e-04   6.08362199e-04
   1.41097014e-04   5.05850418e-04  -1.15046673e-03   1.66778523e-03
   1.69153122e-04   1.43852131e-03   7.29741121e-04   9.80248908e-04
   7.64585275e-04  -3.62475606e-04   2.27380748e-04   8.07018718e-04
   2.10876082e-04  -1.57752627e-04   3.81289370e-04   4.43750032e-04
  -7.74539716e-04   2.09857186e-04   1.17482722e-03  -6.57878118e-04
   8.32711579e-04  -5.70938748e-04  -5.39181463e-04  -5.75863058e-04
   2.28881836e-05  -3.49153671e-03  -9.62640333e-04  -1.26281078e-03
  -2.17403751e-03   1.33387861e-03  -1.41772762e-04   1.54524372e-04
  -1.62591503e-04  -3.08243209e-04  -1.14942064e-04   2.43909555e-04
   9.51363647e-04   3.08305898e-04   9.35660850e-04   4.38451738e-04
   1.84270189e-04   5.67972427e-04   2.74450314e-04   4.64556244e-04
   8.16447893e-04   2.59105902e-04  -5.55778795e-04  -1.03002635e-03
  -5.40741603e-04   8.63002497e-04  -1.25074090e-04   4.79968090e-04
   1.28251428e-04  -4.81014780e-04  -4.93798289e-04  -1.69456216e-05
   5.45501709e-04  -2.65373429e-03  -1.04677363e-03  -1.89681101e-04
  -9.05961322e-04  -1.35287664e-05  -1.37584191e-03   1.47187535e-03
  -8.07197648e-04   1.43796584e-04  -4.08480817e-04   9.88269225e-04
  -6.59671496e-04   1.56825793e-03   1.06667489e-04   9.31362854e-04
   7.82923482e-04  -4.07911954e-04  -1.55409129e-04   2.22380360e-04
  -5.46600902e-04   2.87491712e-05   7.98993278e-04   9.41963983e-04
   4.99058282e-04   3.46903398e-04  -6.70696318e-06  -2.07000092e-04
   1.29170564e-03   6.10058778e-04   1.44399557e-04  -2.21509836e-04
  -2.49862671e-04  -3.83746903e-03  -1.95974344e-03  -1.52391824e-03
  -6.18288876e-04   1.65030197e-03  -1.31161651e-03   8.51179590e-04
   4.34981310e-04  -4.08862514e-04  -7.87030382e-04   1.59139477e-03
  -3.68344510e-04   1.12843397e-03  -7.19494768e-04   2.70568591e-04
   5.35416300e-04  -1.33403495e-03   3.93607683e-04  -1.85567740e-04
   5.89527248e-04   8.11612001e-04  -4.23523976e-04  -4.95603133e-04
   3.45258217e-04   4.95323213e-04   1.27940322e-03  -2.42547612e-05
   7.49907631e-04   4.12579975e-05  -6.41276187e-04   6.49596972e-04]","[ -5.33158607e+01   2.59716040e-03  -4.42551391e-04  -9.34570620e-04
  -6.02347427e-04   3.83611885e-04  -6.04872126e-04  -6.25196320e-04
  -1.08258438e-03  -4.86238219e-04  -4.19788994e-04  -2.19606736e-05
  -5.73808793e-04   4.00676916e-04   1.63533073e-03   5.84458525e-04
   5.69129945e-04   2.90496770e-04   3.34412907e-05  -1.33936142e-03
   1.87287864e-04  -1.25983264e-03   1.13992701e-06   6.21216546e-04
   6.06514222e-05   4.95969667e-04  -1.21187157e-04  -6.40103681e-05
   7.11329747e-04  -1.81160503e-04   1.42000534e-03  -9.57825920e-04
  -5.10031586e+01  -3.36663099e-04  -3.45447566e-04  -1.53581880e-03
  -3.44167609e-04   1.69298507e-03  -1.48402259e-03  -1.48517464e-03
  -9.26784589e-04  -7.80811941e-04  -8.37347179e-05   1.42904057e-04
  -1.87982223e-04   4.71550360e-04   4.39619354e-04   7.20364507e-04
   1.07251748e-03   1.11234153e-03  -1.37049763e-03  -1.22985104e-04
   1.21490215e-03  -7.65396864e-04  -4.80523187e-04   2.92355922e-04
   6.74628653e-04  -3.26355279e-04  -5.65031427e-04  -8.76122038e-04
   2.55155232e-04   4.20241733e-04  -5.44584997e-04  -3.43501772e-04
  -4.68028908e+01   1.64706958e-03  -3.73292423e-05   1.21245172e-03
   6.49613212e-04  -1.96240173e-04  -1.16505031e-03  -1.02811167e-03
  -2.58442853e-03   2.56718369e-04   1.00718602e-03  -4.18853073e-04
  -3.27642018e-04   9.85778170e-04   1.08536880e-03  -9.12995776e-04
   3.38055135e-04   1.05035340e-03   1.66086931e-04   5.17584500e-04
  -1.60570501e-03  -1.06642907e-03   9.97062773e-04   6.56502612e-04
  -3.27812566e-04   1.62250001e-03  -9.42952873e-04  -7.18415191e-04
  -2.58683023e-04   2.78613297e-05  -3.64042389e-05   1.43828234e-04
  -5.15002213e+01   7.82591524e-05  -1.15078886e-03  -5.53719059e-04
  -1.26036559e-03  -1.85074081e-04  -8.45926348e-04  -1.08771736e-03
  -7.30851723e-04  -3.38456666e-05   9.25804779e-04  -1.62531622e-04
  -4.02041827e-04   5.61723369e-04   5.75384824e-04   1.56600750e-03
   1.75816589e-03   1.24175637e-03  -1.18719914e-03  -6.88471366e-04
  -1.56326598e-04   5.57505235e-04  -9.34313866e-05   1.18939101e-03
   1.29755284e-03  -8.08073819e-05   2.49540870e-04  -8.60998174e-04
   6.78726123e-04   8.93902499e-04   2.88011390e-04  -7.87738361e-04]",,60154,audio/signals_f,,,,
,6.0,1.0,,6,,,,,,,,90.0,60161,geometry/pose_raw,,0.12420453876256943,0.0643567442893982,11.0
,6.0,1.0,,7,,,,,,,,90.0,60171,geometry/pose_raw,,0.13867515325546265,0.07373060286045074,11.0
,2.0,0.0,,8,,,,,,,,90.0,60182,geometry/pose_raw,,0.14256072044372559,0.12039333581924438,11.0
,0.0,3.0,,9,,,,,,,,90.0,60191,geometry/pose_raw,,0.14870436489582062,0.07310907542705536,11.0
