audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,-1.0,-1.0,,0,,,,,,,,90.0,387775,geometry/pose_raw,,-0.11376336961984634,0.25229698419570923,12.0
,,,,1,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,387779,crazyflie/motors,,,,
552260850,,,"[3125 4000 4015 4156 4140 1062 4203 1000 1140 1125 3000 4093 4187 4171 1109
 1156 1046 1296 3015 4046 1484 1078 1218 2484 1984 1171 1343 1234 1437 4218
 4109 1281]",2,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[ -2.86351889e-04   6.86002953e-04  -7.42805540e-04   6.81144360e-04
   2.97039987e-05  -3.69083369e-04   2.89312855e-04   2.88739771e-04
  -6.27728878e-04   4.97660250e-04  -6.25897665e-05  -5.13962623e-05
  -8.16161337e-04   2.07902180e-04   4.70416446e-04  -1.38539169e-03
  -5.53507183e-04   1.99033995e-04   7.83644384e-04  -1.21352532e-05
   1.45816815e-03   6.05857786e-05   7.46953883e-04  -2.38892841e-04
  -2.25966476e-04   6.46062719e-04  -8.32637015e-04   5.79681597e-04
  -1.37169496e-04  -3.46795161e-04   2.85543094e-04  -3.97108379e-05
   3.77817079e-04  -1.82789320e-03   4.23445425e-04  -1.72906253e-03
   4.86735662e-04  -1.93514716e-05  -1.33942976e-03  -3.99340730e-04
   2.80340813e-04   5.38021093e-04   8.44406663e-04   2.10833433e-03
   1.16428547e-03  -1.30256522e-04  -6.14665332e-04  -2.40943074e-04
   6.04004366e-04  -4.26402141e-04  -4.40670119e-04  -5.98139130e-04
  -6.23630767e-04   2.14807777e-04   3.59036814e-04  -6.57859375e-04
   3.81640624e-04   2.54894956e-04   3.20217776e-04   2.40430163e-04
  -9.21069062e-04   6.60620572e-04  -7.09062908e-04  -3.58617748e-04
  -8.28509394e-04  -1.41626020e-04  -5.05691569e-04   9.39498481e-04
   3.14978417e-04   3.23529064e-04   1.17313478e-03   4.64214419e-04
  -2.29990648e-04  -8.67609488e-05  -1.07254740e-03   1.33509981e-04
  -6.44448213e-04   8.69934374e-05   8.70290387e-04  -1.21223653e-04
   1.14602466e-04   1.89846993e-04   6.93305803e-04  -3.88816174e-04
  -9.52378497e-04  -6.28543959e-04  -2.75768689e-05   7.19888019e-04
   2.05248973e-04   7.95710424e-04   1.90464649e-04  -1.98009933e-04
   3.41721490e-04  -9.23734042e-05  -7.42130680e-04  -7.91650964e-04
   1.00142977e-04  -1.17767847e-03   8.09497607e-04  -7.85739161e-04
   2.78648367e-04  -3.90753208e-04  -4.50926513e-04   1.58425607e-03
  -6.21794839e-04  -2.87196191e-04   1.82266536e-04   1.37784379e-03
   1.21274113e-03  -2.54225743e-04   6.13346638e-04   1.22345155e-04
  -8.24494782e-06  -2.47300428e-04  -1.38782698e-03  -7.17683870e-05
   3.14022109e-05  -1.95116649e-04  -3.12543940e-04  -1.69096095e-03
  -1.17620849e-03   6.12875738e-04   3.00290034e-04  -9.93842492e-04
   5.45841292e-04   1.50074880e-03  -8.27161595e-04  -1.09227738e-04]","[  9.61385958e-05   2.14112387e-03  -1.20779453e-03   6.01291191e-04
  -1.59712232e-04   1.30730169e-03  -1.53381290e-04  -9.03739478e-04
  -5.41919726e-04  -1.01847365e-03  -1.47977576e-03   2.20484275e-04
  -8.29812197e-05  -1.68867642e-04  -1.42504810e-03   1.40090036e-04
   4.49461339e-04  -1.70346652e-03   6.28642912e-04  -2.77297164e-04
  -6.91052061e-04   9.28719877e-04   3.88236542e-04   3.69558285e-04
  -2.61540641e-04   2.80370004e-04   3.87271837e-04   5.12313622e-04
  -4.91872197e-04  -8.82366876e-05  -1.39459386e-04  -9.18775331e-05
  -4.13338945e-04   1.54307904e-03  -1.29937602e-03   1.94317009e-03
   2.54221074e-03   1.11993868e-03  -5.34455641e-04  -9.94447619e-04
  -1.01282261e-03  -7.25562859e-04  -3.38169048e-04  -5.69462718e-05
  -1.09141576e-03  -1.61061890e-03  -6.09830837e-04  -3.16978316e-04
   2.66365532e-04   1.11938294e-04   1.06549647e-03  -7.87122524e-04
   8.27820331e-05   7.64662749e-04   6.98071439e-04  -9.43713821e-04
   2.98669329e-04  -2.69461452e-05  -2.61119712e-04  -8.32948717e-05
   5.82128530e-04   3.89310560e-04  -3.37123347e-04  -6.50547794e-04
   2.38827008e-04   1.54024223e-03  -4.26336512e-04  -8.15824664e-04
  -7.03406462e-04   1.52156851e-03   7.41966360e-04  -6.75484422e-04
  -5.14990883e-04  -1.07529480e-03  -7.65569857e-04   2.35829109e-04
   5.32905338e-04   2.56523228e-04  -9.49799025e-04  -7.25892140e-04
  -2.72666395e-04  -3.14397446e-04   6.21586805e-04   2.52046913e-04
  -5.25474898e-04   5.21745416e-04   8.98609054e-04   6.47526060e-04
  -1.07483640e-04   9.18257807e-04  -1.34720118e-03   4.67171078e-04
   2.28991019e-04  -1.02464366e-03  -2.87787494e-04  -5.49985794e-04
   2.76214618e-04   1.98901817e-03  -1.05116714e-03   1.02165435e-03
   2.14170152e-03   1.62992266e-03   4.05625819e-04  -1.30760728e-03
  -3.51655384e-04  -7.75007182e-04   1.79483046e-04  -1.61760487e-04
  -5.95184683e-04  -8.41114088e-04  -7.52426684e-04  -9.04544431e-04
   1.18260668e-03  -1.54724301e-04   6.40279963e-04  -1.95941399e-03
  -1.59041912e-04   1.13479816e-03   1.27798563e-03  -5.77835715e-04
   1.22955628e-03   2.10221609e-04  -8.82589957e-05  -6.19813625e-04
  -1.32934155e-03  -1.46926875e-04  -5.59168984e-05   2.22063627e-05]",,387780,audio/signals_f,,,,
,-3.0,-4.0,,3,,,,,,,,90.0,387788,geometry/pose_raw,,-0.11341142654418945,-0.146876260638237,12.0
,-3.0,-4.0,,4,,,,,,,,90.0,387796,geometry/pose_raw,,-0.1160808578133583,-0.2742212414741516,12.0
,-1.0,-2.0,,5,,,,,,,,90.0,387806,geometry/pose_raw,,-0.11869951337575912,0.020822344347834587,12.0
,3.0,6.0,,6,,,,,,,,90.0,387815,geometry/pose_raw,,-0.11336459219455719,-0.27506017684936523,12.0
,0.0,-2.0,,7,,,,,,,,90.0,387826,geometry/pose_raw,,-0.1168375313282013,-0.13133732974529266,12.0
,0.0,0.0,,8,,,,,,,,90.0,387836,geometry/pose_raw,,-0.11741951107978821,-0.0850878432393074,12.0
,5.0,-4.0,,9,,,,,,,,90.0,387845,geometry/pose_raw,,-0.12350373715162277,-0.02919657900929451,12.0
