audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,5.0,-2.0,,0,,,,,,,,90.0,29486,geometry/pose_raw,,-0.17926910519599915,-0.037284623831510544,17.0
,-7.0,9.0,,1,,,,,,,,90.0,29492,geometry/pose_raw,,-0.17749038338661194,-0.018646087497472763,17.0
,2.0,-6.0,,2,,,,,,,,90.0,29498,geometry/pose_raw,,-0.17960719764232635,0.08470679074525833,17.0
,1.0,0.0,,3,,,,,,,,90.0,29506,geometry/pose_raw,,-0.17912186682224274,0.11571891605854034,20.0
,0.0,0.0,,4,,,,,,,,90.0,29512,geometry/pose_raw,,-0.1784220039844513,-0.11885790526866913,20.0
,1.0,-1.0,,5,,,,,,,,90.0,29520,geometry/pose_raw,,-0.17876987159252167,0.12430790066719055,20.0
,2.0,-3.0,,6,,,,,,,,90.0,29528,geometry/pose_raw,,-0.17941157519817352,-0.13341130316257477,20.0
,2.0,-3.0,,7,,,,,,,,90.0,29534,geometry/pose_raw,,-0.18045254051685333,0.06421150267124176,18.0
,-3.0,6.0,,8,,,,,,,,90.0,29541,geometry/pose_raw,,-0.17863838374614716,-0.15515537559986115,18.0
,,,,9,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,29544,crazyflie/motors,,,,
,3.0,-5.0,,10,,,,,,,,90.0,29550,geometry/pose_raw,,-0.18065540492534637,0.16766586899757385,18.0
