audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,3.0,,0,,,,,,,,90.0,278827,geometry/pose_raw,,0.038346026092767715,0.07568834722042084,6.0
436770252,,,"[3125 4000 4015 4140 1109 4203 1062 4109 1140 1218 4125 2171 1031 3000 1000
 1078 1171 1203 2640 4031 4093 1375 4062 1406 4187 4156 1265 1359 1015 1328
 1578 1656]",1,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[ -2.64549599e-04  -8.72906880e-04   4.09914646e-05  -3.07893439e-04
  -1.64052763e-04  -4.98268462e-04   8.06361204e-05   5.59917302e-04
   3.28393595e-04  -4.92292165e-04   1.13971168e-04   8.83422501e-04
   4.41826734e-04  -7.17340619e-04  -1.97362300e-04  -9.13591866e-05
  -5.87731251e-04   8.36458930e-04  -2.07422097e-04  -1.10668159e-04
   6.08461967e-04  -1.40404445e-04  -7.61080300e-04  -5.03259434e-05
   1.20966099e-04   1.15311603e-04   1.37830200e-03   3.67134897e-04
  -3.54980526e-04  -7.22807541e-04  -2.77690531e-04   3.54021729e-04
   3.61253507e-04  -2.08145194e-03   1.88082585e-03   2.28228018e-04
  -6.60602003e-04   1.26819918e-03  -1.73724315e-04   5.82978246e-04
   4.71681298e-04  -8.14154861e-04   6.56281190e-04   3.14965262e-04
   1.21493460e-04  -2.63778958e-04   1.58627331e-03   1.37763214e-04
  -1.61598145e-04  -1.79523428e-04   3.20404855e-04   8.43981543e-05
  -8.33711412e-04  -4.75075271e-04  -9.68662847e-04  -3.06186645e-04
  -7.26216880e-04  -6.24963955e-04   4.56486654e-04   5.69332507e-04
  -1.34187541e-03  -1.23268255e-04   1.18846947e-03  -9.29392467e-04
   6.31465693e-04  -1.06392649e-03   6.11475494e-04   1.33466697e-03
  -1.56625640e-04  -3.10871808e-04   5.32726059e-04  -6.80133933e-04
   1.02264545e-04   8.67936877e-04  -3.05035850e-04  -8.47560470e-04
  -5.82049252e-04   5.92408993e-04   3.52103889e-05   9.63571656e-04
  -1.66172546e-03  -5.19012916e-04  -1.87017737e-04   1.08813838e-04
   6.15053112e-04  -7.96814682e-04  -1.07481715e-03   4.00445657e-04
   2.29201338e-04   3.74279276e-04  -2.44405936e-04  -1.95230969e-04
  -9.28282243e-05  -1.91905128e-04  -1.02734077e-03  -5.49563905e-04
  -4.75461071e-04  -1.58697239e-03   2.81062280e-03   6.26387191e-04
   3.95071402e-04   7.38518080e-04  -2.85015441e-04   1.03321217e-04
   5.18322457e-04   1.76974712e-03  -2.48487282e-04   1.63248566e-03
   1.93780128e-04  -3.38133395e-04  -2.69562413e-04  -8.54410522e-04
   3.38613245e-05  -2.55886735e-05   1.17496913e-03  -7.29117077e-04
   5.41793925e-05  -5.75087557e-04  -6.97219977e-04  -1.52250868e-06
  -2.73088983e-04  -4.53389250e-04   4.12739988e-04  -1.64562574e-04
  -3.13953846e-04  -2.69324664e-04  -2.56836851e-04  -3.53620853e-04]","[  5.50926663e-04   4.26693773e-03  -3.05004115e-03   2.07558289e-04
  -1.62041077e-04  -4.77351365e-04  -1.05822249e-03  -6.49184280e-04
  -2.26211341e-04   2.97356979e-04  -1.73105684e-04   7.69359292e-04
   1.05055689e-03   5.16728731e-04   7.01973913e-05   1.07294868e-03
   1.31276014e-04   1.17103220e-04  -1.31594890e-03  -8.68003757e-04
   4.92895313e-04   1.44550297e-03  -3.86856671e-04  -7.57022877e-04
   3.80938473e-05  -9.67143860e-05  -3.23813758e-04   1.30291842e-03
  -5.89802279e-04  -5.71391953e-04  -6.92358939e-04   2.00039125e-04
  -2.55265681e-04   1.23691652e-03  -1.02931773e-03   1.73800194e-03
  -1.04186853e-04   1.26837858e-03   4.77880421e-05  -9.61756101e-04
  -1.51510525e-03   3.38824611e-04  -1.76385941e-03  -6.15523313e-04
   3.37533595e-04   2.36548018e-04  -4.26055863e-04   6.40257145e-04
   5.70171862e-04   8.55271064e-04   2.15086966e-05  -2.86750757e-04
   1.11797987e-03   4.71091218e-04  -4.43283003e-04  -5.35441941e-05
  -2.02818424e-04   6.08369242e-04  -2.24565447e-04  -4.01540456e-06
   5.75185288e-04   7.71303894e-04   2.54283004e-05   7.66121724e-04
  -1.14461000e-03   2.06038356e-03  -9.34084412e-04  -6.72674039e-04
  -8.32858612e-04  -9.86101455e-04  -1.30043481e-04  -1.72274740e-05
   1.38436371e-06  -1.34227262e-03  -7.95630422e-06  -7.74881482e-06
   1.12598168e-03   1.02812750e-03  -7.98854890e-05   6.76360214e-05
   8.48007214e-04   3.68734996e-04   1.13531097e-03  -1.91799554e-05
   8.99811857e-05   2.50644865e-04   3.80103826e-04  -1.58174685e-03
   1.46535900e-03  -4.94803942e-04  -5.88506809e-04   6.17230311e-04
   2.51620659e-04  -1.03626540e-03   1.46006932e-04  -3.73967254e-04
  -6.22501306e-04   9.75569710e-04  -6.43523992e-04   1.29165244e-03
  -1.73859741e-03   6.69416331e-04   1.63719850e-03  -1.39596593e-03
  -8.36303050e-04   4.39663563e-04  -1.08947500e-03  -1.11607066e-03
   1.41722756e-03  -8.79442494e-04  -4.09004744e-04   2.70499615e-04
   7.81975570e-04   4.75806679e-04  -4.75790730e-04  -6.38569705e-04
   6.70397014e-04  -7.30319181e-04  -2.51347607e-04   7.98851659e-04
  -2.28891091e-04   4.90201171e-04  -3.26824695e-04   3.71977105e-04
  -2.59698048e-04   4.45309939e-04  -5.57153020e-04  -1.17648597e-04]",,278837,audio/signals_f,,,,
,-5.0,0.0,,2,,,,,,,,90.0,278840,geometry/pose_raw,,0.03774351254105568,0.10901366919279099,6.0
,0.0,0.0,,3,,,,,,,,90.0,278848,geometry/pose_raw,,0.03857314586639404,0.06928399950265884,7.0
,3.0,-3.0,,4,,,,,,,,90.0,278857,geometry/pose_raw,,0.03992029279470444,0.07171723246574402,7.0
,0.0,3.0,,5,,,,,,,,90.0,278866,geometry/pose_raw,,0.040568456053733826,-0.13251927495002747,7.0
,3.0,-8.0,,6,,,,,,,,90.0,278879,geometry/pose_raw,,0.03996119275689125,-0.13164517283439636,7.0
,,,,7,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,278884,crazyflie/motors,,,,
,-6.0,7.0,,8,,,,,,,,90.0,278887,geometry/pose_raw,,0.03937842324376106,0.03792683035135269,10.0
,-2.0,1.0,,9,,,,,,,,90.0,278897,geometry/pose_raw,,0.039114102721214294,-0.00221603037789464,10.0
