audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,-2.0,3.0,,0,,,,,,,,90.0,21579,geometry/pose_raw,,3.158459186553955,0.04036785289645195,9.0
,1.0,-3.0,,1,,,,,,,,90.0,21586,geometry/pose_raw,,3.219209909439087,0.06422258168458939,9.0
,,,,2,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,21594,crazyflie/motors,,,,
,0.0,0.0,,3,,,,,,,,90.0,21597,geometry/pose_raw,,3.2158021926879883,0.09417074918746948,9.0
47590905,,,"[   0 4000 4015 4203 3000 1046 4140 1203 4171 1000 1156 3015 1218 4156 4125
 1031 1062 4187 4109 1140 1109 4406 4046 1906 4609 4062 1312 1250 1296 1937
 1875 1343]",4,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[  7.24792480e-05  -2.12585740e-03   1.39317324e-03   3.80928541e-04
  -1.07202132e-03   8.46450275e-04   6.02927059e-04   3.60810867e-04
  -3.61763290e-04  -8.18266271e-05  -6.86588319e-05   8.59830528e-04
   6.79170189e-04  -4.79750161e-04  -2.60517234e-04   3.45617183e-04
  -6.68581750e-04   1.45130034e-04   4.44480713e-04  -2.08459009e-04
  -1.41011871e-04   6.02439686e-05  -1.00120582e-04  -1.11569898e-04
   1.14783202e-03   1.50546388e-04   2.61373178e-04  -1.25397486e-03
   4.82089126e-05   8.67847528e-04  -4.28681407e-04  -7.49125204e-04
  -3.24249268e-04  -5.41156740e-04   1.29110005e-03   4.00240038e-04
  -1.47944235e-03   1.39933929e-03  -1.75312231e-03   8.58849089e-04
  -4.88148216e-04   2.97982362e-04  -1.18995295e-03   6.91825233e-04
   1.43996149e-03   6.85099687e-04   6.11465308e-04  -4.12039401e-04
  -5.17905457e-04  -1.16787059e-03   6.50055357e-04   3.76278884e-04
   1.64809535e-04  -1.53324101e-04   1.71619002e-04   3.93229508e-04
  -6.12891628e-04  -7.25904887e-04  -1.26798841e-04   2.90132884e-04
  -1.06067862e-03  -5.86810056e-04   5.85465285e-04   1.62826356e-04
  -5.98907471e-04  -2.32048007e-03   1.82638364e-03   7.10932538e-04
  -1.06749998e-03  -1.58903640e-04  -1.24732032e-05   1.10648386e-03
  -8.97162652e-04  -1.62810233e-04  -4.82654053e-04   1.38774572e-03
   6.12167933e-04   5.15612017e-04  -5.54251717e-04  -9.96829942e-04
   1.17567135e-03   3.80726997e-05   6.12034579e-04  -4.18964308e-04
  -5.56854648e-04   9.28724010e-04  -3.32586758e-04  -9.14991368e-04
  -1.01996551e-03   6.34789758e-04  -7.67167192e-04  -5.39165747e-04
  -5.82566950e-04   3.63722502e-04  -1.82503441e-04   9.39608435e-04
   7.97271729e-04  -5.30958932e-04   1.19906489e-03   4.50947962e-04
  -2.64368718e-05  -2.87072820e-04  -7.33355351e-04   1.02025154e-03
   5.27074095e-04  -1.12881919e-03   1.46076825e-04   2.67934549e-04
  -2.11544408e-04  -2.94125290e-04  -2.67133291e-04   1.52764012e-04
  -7.63056858e-04  -1.18158909e-03   7.13762129e-04  -7.64556607e-05
   4.72859771e-04   5.43800939e-04  -3.74155788e-04  -1.23063146e-04
   8.51433550e-04  -7.03370897e-04  -5.80848544e-04  -6.11234922e-04
   1.10585206e-04  -2.01335642e-05  -8.17182008e-04   1.94500026e-05]","[ -5.33502617e+01  -9.29328962e-05  -4.49777843e-04  -4.57520946e-04
  -2.48875062e-04   7.21312244e-04   3.02157743e-04   6.02096959e-04
   6.69754343e-04  -2.16156652e-04  -1.63715077e-03  -7.29018211e-05
   2.36725464e-05  -1.49525760e-04  -2.36291118e-04   7.95307336e-04
   4.84262855e-04   2.07085395e-04  -2.99436884e-04  -9.56592732e-04
  -5.34865656e-04  -2.94087164e-04   8.10466998e-04  -1.16359070e-03
   5.13953273e-06   8.84956564e-04  -2.17204186e-04  -7.72034982e-05
  -3.81853635e-04  -3.54253512e-04   2.51890247e-04   4.80725983e-04
  -5.11642723e+01  -2.44847918e-03  -2.39571091e-06   1.80019916e-03
  -1.01925747e-03  -3.39285180e-05   2.76516774e-04   2.18478875e-04
  -1.89972727e-03   3.51134106e-04  -9.53218085e-04   9.60559701e-04
   6.10966759e-04   1.32575515e-03  -1.30892452e-03   1.18232099e-03
   8.44777242e-06  -5.66792209e-04   3.28112510e-04  -9.38006560e-04
   1.08312714e-04  -2.10592741e-04   1.38166361e-03  -3.38577694e-04
   9.41841281e-05   1.68091647e-04  -8.00030364e-04  -8.30965233e-04
  -6.61778322e-04   6.31036237e-04  -6.38766098e-04   5.12356171e-04
  -4.69112816e+01  -1.13384996e-03  -4.84198186e-04  -1.35075708e-03
   8.93032062e-04   3.81667924e-04   1.22350804e-03   7.75394205e-04
   2.24088260e-04  -1.58267235e-03  -1.57155402e-04   5.57196385e-04
   1.04758097e-03   2.28664096e-04  -3.39081715e-04  -9.23031257e-06
   8.93979915e-04   1.05440780e-03  -9.65256535e-04  -6.60210208e-05
  -1.36401772e-03   3.94352362e-04   4.12464869e-04   1.21165277e-03
  -2.24852789e-04   5.07713645e-04  -1.47712033e-03  -1.98476628e-04
  -8.71019729e-05  -7.49337312e-04   1.03431907e-04  -9.12061951e-05
  -5.16687660e+01  -2.84515112e-03   1.42677897e-03   1.12316036e-03
  -1.70319970e-03   1.12313326e-04   5.88887662e-04   3.23951419e-04
  -1.26996916e-03  -5.54698694e-04  -7.77692301e-04   1.17406424e-03
   9.84732877e-04   8.47223448e-04  -4.13180096e-04   1.26825972e-03
   1.07215667e-04  -4.07117506e-04   1.33654612e-04  -1.10939308e-03
   5.11674909e-04   1.57901039e-03   1.46591105e-03  -5.63328853e-04
   8.44890485e-04   7.55440618e-04   2.61514389e-04   2.31002778e-05
  -1.22730527e-03   6.07693684e-04   1.23341836e-03   5.52322774e-04]",,21601,audio/signals_f,,,,
,0.0,0.0,,5,,,,,,,,90.0,21607,geometry/pose_raw,,3.2158021926879883,0.04786865785717964,9.0
,4.0,12.0,,6,,,,,,,,90.0,21616,geometry/pose_raw,,2.9505062103271484,-0.10641568899154663,9.0
,-4.0,-12.0,,7,,,,,,,,90.0,21626,geometry/pose_raw,,3.063491106033325,-0.03763362020254135,9.0
,-4.0,4.0,,8,,,,,,,,90.0,21638,geometry/pose_raw,,2.9959373474121094,-0.023352300748229027,9.0
,4.0,-4.0,,9,,,,,,,,90.0,21647,geometry/pose_raw,,3.082090139389038,0.05013801157474518,9.0
,-3.0,4.0,,10,,,,,,,,90.0,21656,geometry/pose_raw,,3.023420810699463,-0.062049079686403275,8.0
,-2.0,4.0,,11,,,,,,,,90.0,21667,geometry/pose_raw,,2.9735958576202393,-0.047707706689834595,8.0
,0.0,-3.0,,12,,,,,,,,90.0,21677,geometry/pose_raw,,3.0202176570892334,-0.12941285967826843,8.0
,0.0,-1.0,,13,,,,,,,,90.0,21686,geometry/pose_raw,,3.0425808429718018,0.08062591403722763,8.0
,,,,14,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,21692,crazyflie/motors,,,,
,6.0,-4.0,,15,,,,,,,,90.0,21696,geometry/pose_raw,,3.1251211166381836,-0.13329188525676727,8.0
,4.0,19.0,,16,,,,,,,,90.0,21707,geometry/pose_raw,,3.1222400665283203,-0.1849515438079834,8.0
