audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,58759,geometry/pose_raw,,-0.3962785005569458,-0.04859393462538719,0.0
,0.0,0.0,,1,,,,,,,,90.0,58764,geometry/pose_raw,,-0.39658600091934204,0.17105507850646973,0.0
,0.0,0.0,,2,,,,,,,,90.0,58772,geometry/pose_raw,,-0.39648914337158203,-0.09541817009449005,0.0
,0.0,0.0,,3,,,,,,,,90.0,58778,geometry/pose_raw,,-0.39591994881629944,0.13814832270145416,0.0
,0.0,0.0,,4,,,,,,,,90.0,58788,geometry/pose_raw,,-0.3971904516220093,-0.054165832698345184,0.0
,0.0,0.0,,5,,,,,,,,90.0,58799,geometry/pose_raw,,-0.3970637321472168,-0.13617919385433197,0.0
,,,,6,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,58802,crazyflie/motors,,,,
,0.0,0.0,,7,,,,,,,,90.0,58810,geometry/pose_raw,,-0.39661240577697754,0.10903449356555939,0.0
,0.0,0.0,,8,,,,,,,,90.0,58818,geometry/pose_raw,,-0.3973929286003113,-0.23260332643985748,0.0
651881271,,,"[   0 3984 3000 4000 1281 1203 1296 2984 4984 1343 1265 1328 4187 1187 1406
 1093 1078 1109 2640 1156 2015 1250 1359 1312 1000 2671 1046 1890 1906 1953
 1031 4390]",9,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[  2.49862671e-04   3.18244658e-03   2.64417613e-03  -4.64390498e-03
   5.91171556e-04   6.05232967e-03  -1.45606464e-06   3.15951859e-03
   7.33038352e-04  -3.67406360e-03   2.49252957e-03  -1.13489979e-03
   2.97150062e-03  -4.03145701e-03   3.53862112e-03  -2.24945904e-03
  -2.38312199e-03  -1.96394161e-03   3.99879785e-03   1.00100646e-03
   2.96461489e-03  -1.79877947e-03   2.68357247e-03  -1.62588875e-03
   1.06178537e-04  -3.68057564e-03   3.26306955e-03   3.19964509e-03
  -8.65549082e-04   2.63437140e-03   2.67979968e-03   5.34016988e-04
   4.38690186e-05  -2.17799470e-03  -1.04679937e-04  -1.21908321e-04
   2.72673584e-04   1.77938445e-03  -7.35541922e-04  -1.24489001e-04
   2.09473819e-03  -8.41313798e-04   6.68225461e-04   6.26197027e-04
  -3.24265158e-04  -5.68297517e-04   1.36837142e-03  -1.47188141e-04
  -1.42638281e-03  -3.94222559e-04   4.65093413e-04   2.82933383e-04
   1.58441998e-03  -1.09042006e-03   6.26342779e-04  -4.20377677e-04
   6.29239134e-04   6.48139161e-04   4.88014659e-04   2.33576095e-04
  -8.80889769e-04   2.61754118e-04   9.40410187e-04   1.82424585e-04
   2.15530396e-04   1.52425113e-04  -5.69498516e-05  -1.17295922e-03
  -2.07751058e-04   1.39989716e-03   5.70259988e-04   1.37761189e-03
  -9.64073581e-04  -5.91622666e-04  -2.26260134e-04   9.29312228e-05
   6.49816648e-04  -1.05061423e-04   1.33701105e-04  -8.86082475e-04
   5.47613658e-04   4.37272858e-04   6.85822451e-04  -5.12595812e-04
   4.75234876e-04  -1.43270532e-04   4.93668253e-04  -1.16850875e-04
  -8.89508170e-04   1.25659339e-04  -1.09903791e-04  -3.13435536e-04
   3.35043995e-04   9.92028072e-06   4.18475043e-04  -2.14918796e-03
   2.86102295e-05  -3.84501042e-03  -1.93672604e-05   1.93603383e-03
   3.43056250e-04   7.15656963e-04   3.67784989e-04   7.57941685e-04
  -1.78411417e-03  -6.47392124e-04   4.04924998e-04   4.27432882e-04
  -4.38606250e-04  -1.03854772e-03   2.84588285e-04  -7.46272737e-04
   8.86168040e-04   7.84321164e-04  -3.62232589e-04  -1.23853819e-03
   1.07437500e-05  -5.36419684e-04   4.93878470e-05  -5.35310362e-04
  -3.41538398e-04   3.45285545e-04  -1.55878979e-06  -2.69326003e-04
  -2.71810102e-04   4.85837401e-04   6.87865773e-04   2.03219568e-03]","[ -4.46864548e+01   2.18741689e-03   1.85256987e-03  -1.12313998e-03
  -3.20734875e-03   2.57248711e-03  -4.83780168e-03  -5.96392085e-04
  -1.31001684e-03   2.42661871e-03   3.88916465e-04   2.80126743e-03
   2.05582962e-03   7.28873711e-04   1.19584077e-03   1.08252850e-03
   2.29320559e-03  -3.60101229e-03  -1.70720287e-03  -3.72912805e-03
  -2.07494106e-03  -3.00717657e-04  -2.19594222e-03  -1.23496377e-03
   8.34529288e-04   5.86541777e-04   1.82325183e-03  -2.95003294e-04
  -1.10454205e-03   1.15499704e-03   9.34841577e-04  -1.04456232e-03
  -4.75017319e+01   2.43685488e-03  -4.71369367e-06  -3.69888637e-03
  -1.03527121e-03  -3.93374183e-04  -2.28031934e-03   5.43868053e-04
  -2.42953422e-03   1.93981372e-03  -5.51072764e-04   1.00170344e-03
   1.93670555e-03   8.43663816e-04   6.72810711e-04   1.76385208e-03
   1.32014626e-03  -9.05939145e-04  -6.52191928e-04  -1.45729748e-03
  -1.48865604e-03   5.38500259e-04  -1.25195744e-04  -4.99529066e-04
  -9.00939689e-04  -6.44472311e-04   6.35395758e-04  -5.88114082e-04
  -1.29117674e-04   1.66606056e-04  -5.93261677e-04  -1.16557768e-03
  -4.88294373e+01   2.28217710e-03   6.91374298e-04  -2.00076448e-03
  -1.69475074e-03   5.19646332e-04  -1.02688195e-04   1.02701451e-04
  -7.85667798e-04   9.27465269e-04  -2.46201671e-04  -2.60558954e-05
   1.35917289e-04   1.65755337e-04  -3.81154823e-04  -6.50549249e-04
   1.25855044e-03  -2.18506262e-04  -5.83382440e-04  -1.25789084e-04
  -2.35706160e-04  -4.93498985e-04   4.65691526e-04   3.57613782e-04
  -1.10693299e-03  -4.41349664e-04   3.63093248e-04  -5.45369636e-04
  -3.19075829e-04  -1.03907594e-04   6.84790895e-04   9.57039883e-05
  -4.79289856e+01   1.21752848e-03   1.11344247e-03  -2.95115542e-03
  -1.72020445e-05  -4.51058149e-04  -1.61613489e-03   6.64431544e-04
   9.64785460e-04   1.14796683e-03  -7.61986361e-04   7.43345823e-04
   1.00637996e-03   1.30719785e-03   5.88187424e-04   9.58049553e-04
   9.04075336e-04  -9.19783779e-04  -1.50759188e-05  -8.69712443e-04
  -2.02532494e-04  -6.05725625e-04   8.45995499e-04  -6.87494408e-04
   2.98399682e-04   1.33303009e-04   1.56895054e-04   4.45497455e-04
  -2.07609028e-05  -4.27511899e-04  -5.99890132e-04   8.35677376e-04]",,58828,audio/signals_f,,,,
