audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,164664,geometry/pose_raw,,0.7320840954780579,-0.1388077735900879,1030.0
,,,,1,,[54928. 54928. 54928. 54928.],[50000. 50000. 50000. 50000.],,,,,,164671,crazyflie/motors,,,,
,0.0,0.0,,2,,,,,,,,90.0,164675,geometry/pose_raw,,0.7303478121757507,-0.2733505070209503,1030.0
,0.0,1.0,,3,,,,,,,,90.0,164686,geometry/pose_raw,,0.6538444757461548,0.15153947472572327,1030.0
,0.0,0.0,,4,,,,,,,,90.0,164695,geometry/pose_raw,,0.6549497842788696,0.5013755559921265,1037.0
,-2.0,-1.0,,5,,,,,,,,90.0,164705,geometry/pose_raw,,0.6425469517707825,0.06162857636809349,1037.0
,1.0,0.0,,6,,,,,,,,90.0,164716,geometry/pose_raw,,0.6436017751693726,-0.8295671939849854,1037.0
,0.0,0.0,,7,,,,,,,,90.0,164725,geometry/pose_raw,,0.6401579976081848,-1.0807334184646606,1037.0
,1.0,1.0,,8,,,,,,,,90.0,164735,geometry/pose_raw,,0.6312465071678162,0.18306007981300354,1037.0
430343354,,,"[1000 1125 1250 1375 1500 1625 1750 1875 2000 2125 2250 2375 2500 2625
 2750 2875 3000 3125 3250 3375 3500 3625 3750 3875 4000 4125 4250 4375
 4500 4625 4750 4875]",9,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[ 4.94378716e-01  1.88873678e-01  2.22055182e-01 -8.22382450e-01
  3.93520981e-01 -2.08533928e-02  3.56236696e-02  3.10215503e-02
  4.79309075e-02  1.18736053e+00 -2.12601870e-02 -2.96043232e-03
 -7.87304863e-02 -2.92356998e-01  1.82029843e-01 -4.31922451e-02
 -8.52112621e-02 -6.29937947e-02  3.02578565e-02 -2.35932201e-01
  1.36654824e-03  1.25305075e-02 -1.19064525e-02 -1.02258790e+00
  1.42248198e-01 -1.35458142e-01  1.06822990e-01 -5.54573126e-02
 -1.21705048e-01 -1.89751178e-01 -2.17282489e-01  9.32549387e-02
 -3.15034747e-01 -8.60196799e-02  4.49733436e-02  2.77655315e+00
  9.63610649e-01  3.34249139e-02 -7.54984498e-01  2.71301597e-01
 -4.75817293e-01 -2.08609438e+00 -4.69279550e-02  1.86702237e-01
  1.00875467e-01  3.05643559e-01 -1.40567020e-01 -7.30297565e-01
  9.79154408e-02 -1.36138827e-01  2.51434017e-02 -3.70876193e-02
 -2.76042044e-01  1.06374010e-01  7.95042068e-02  4.36500281e-01
  6.12825528e-02 -6.26522452e-02  6.30265117e-01  1.62058115e-01
 -6.62342831e-02  2.41854176e-01  2.30963886e-01 -8.75157863e-02
 -6.26431629e-02  2.01999292e-01  7.92523287e-03  1.63550779e-01
  1.36654747e+00 -1.49168462e-01  2.19400689e-01  1.05772994e-01
  7.14665353e-02 -1.17005980e+00 -1.08723842e-01 -9.40811187e-02
  2.42446989e-01  4.91155684e-01 -2.99368110e-02  1.32816434e-02
  2.24075481e-01 -1.86999049e-02 -6.57318115e-01  1.32506862e-01
  6.27069622e-02 -8.73381272e-03  2.18577504e-01 -2.11586523e+00
 -5.39192796e-01  4.36490923e-02  2.01109767e-01  6.09052181e-02
  2.17153281e-01  3.82452667e-01 -2.75144763e-02 -7.74918199e-02
 -4.85076725e-01 -5.56043720e+00  5.60861111e+00 -2.87194467e+00
  1.70439386e+00  4.55109406e+00 -1.54464030e+00 -3.32840085e-01
  1.39957559e+00  1.20290077e+00 -6.74711704e-01 -1.48176694e+00
 -4.11297381e-01 -2.80620694e-01 -1.00237632e+00 -1.16252816e+00
  3.42567354e-01 -4.78434086e-01 -1.62034869e-01  1.65832937e-01
  2.06755638e+00  2.52775341e-01  1.00054729e+00  4.40353304e-01
 -4.02512521e-01  3.81595314e-01 -9.62088466e-01 -8.34082961e-02
 -4.22890157e-01 -3.35726529e-01 -2.95776874e-01 -2.66285241e-01]","[ 3.90684344e-02  8.57723281e-02  3.10131889e-02  3.85552049e-02
 -6.36532903e-02  2.60135531e-02 -9.66111660e-01 -2.13149846e-01
 -2.20217168e-01 -6.85661316e+00  1.30207822e-01 -1.32008836e-01
 -5.08688390e-01  1.62281170e-01 -3.59515175e-02 -1.42373905e-01
  1.51175693e-01 -5.19503765e-02  1.27671227e-01  7.36628175e-02
 -3.89270276e-01 -1.23092443e-01 -1.55157819e-01 -6.80956006e-01
 -1.14572808e-01  1.21776685e-01  1.61095396e-01  6.41274527e-02
 -1.48475245e-01 -1.82642803e-01 -1.09043151e-01  7.25106522e-02
 -7.52805918e-02  6.44759275e-03 -2.01819003e-01 -7.87131310e-01
 -7.13907421e-01  5.49448133e-02  2.17874622e+00 -4.80815507e-02
 -2.68806607e-01 -4.94091415e+00 -3.63270342e-02  6.73656315e-02
  7.11310983e-01 -7.67352059e-02  6.91333652e-01  8.22360992e-01
  1.35142922e-01 -7.30437189e-02  9.33207870e-02 -1.79744288e-01
  6.76206887e-01  1.17890295e-02 -1.75575078e-01 -1.02106236e-01
 -5.91388419e-02 -1.84569314e-01 -2.27326274e+00 -2.14996129e-01
  1.49560302e-01  1.88693017e-01  1.13093823e-01 -1.45765841e-01
 -1.85688972e-01  2.39034910e-02  9.77331102e-02 -2.75368094e-02
 -7.50760078e-01 -3.19094621e-02 -6.74320757e-02 -1.07776150e-02
  8.03031474e-02 -7.20628142e-01  5.43047749e-02 -7.83518627e-02
 -6.75391734e-01  1.46324933e-02  1.78517044e-01 -2.52416110e+00
 -3.01148683e-01  2.58609951e-02 -3.12876552e-01  6.10188358e-02
 -2.93824114e-02 -1.48173034e-01  9.20940787e-02 -1.74572861e+00
 -3.89983654e-02 -5.97527623e-02 -6.00987256e-01  1.77039728e-01
  1.48315758e-01 -4.06863391e-01  1.53452158e-01  2.00128376e-01
  2.85407019e+00  1.11685789e+00 -5.44080162e+00  3.72762251e+00
 -1.51817453e+00 -2.27110243e+00  2.30599737e+00 -1.93865895e+00
 -9.36011910e-01 -4.29353619e+00 -4.42428142e-02 -2.51624417e+00
  6.38627231e-01 -2.55978560e+00 -1.68253875e+00 -3.55389178e-01
 -1.60805273e+00 -8.94146025e-01 -1.12263680e+00  6.26578331e-02
  5.23855352e+00  2.79269814e-01 -8.65110159e-02  1.35003105e-02
  9.79114473e-02  1.97376207e-01  1.43066907e+00  3.80500972e-01
  1.24027617e-01  2.61589736e-01  2.01744780e-01 -1.08816072e-01]",,164745,audio/signals_f,,,,
,0.0,0.0,,10,,,,,,,,90.0,164746,geometry/pose_raw,,0.6408706903457642,-0.04963848739862442,1021.0
,0.0,0.0,,11,,,,,,,,90.0,164755,geometry/pose_raw,,0.6404171586036682,0.7674102783203125,1021.0
,0.0,-1.0,,12,,,,,,,,90.0,164764,geometry/pose_raw,,0.6419339776039124,0.21949726343154907,1021.0
,,,,13,,,,,,,,,164767,crazyflie/status,3.2463345527648926,,,
,,,,14,,[54928. 54928. 54928. 54928.],[50000. 50000. 50000. 50000.],,,,,,164770,crazyflie/motors,,,,
,-1.0,0.0,,15,,,,,,,,90.0,164776,geometry/pose_raw,,0.6507458090782166,-0.33577972650527954,1021.0
,-1.0,0.0,,16,,,,,,,,90.0,164786,geometry/pose_raw,,0.6471561193466187,-0.5761677026748657,1029.0
,1.0,0.0,,17,,,,,,,,90.0,164797,geometry/pose_raw,,0.6526960134506226,0.5720484256744385,1029.0
,0.0,0.0,,18,,,,,,,,90.0,164805,geometry/pose_raw,,0.6554967761039734,0.017431875690817833,1029.0
,-2.0,0.0,,19,,,,,,,,90.0,164815,geometry/pose_raw,,0.6317237615585327,0.08219841867685318,1029.0
,1.0,0.0,,20,,,,,,,,90.0,164826,geometry/pose_raw,,0.6371905207633972,-0.4857326149940491,1029.0
,1.0,0.0,,21,,,,,,,,90.0,164835,geometry/pose_raw,,0.6340274214744568,-0.014908329583704472,1032.0
,0.0,0.0,,22,,,,,,,,90.0,164844,geometry/pose_raw,,0.6353729367256165,0.190619558095932,1032.0
,-2.0,0.0,,23,,,,,,,,90.0,164855,geometry/pose_raw,,0.6174536347389221,0.6684475541114807,1032.0
