audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,24862,geometry/pose_raw,,4.2950615882873535,0.11093796789646149,0.0
,0.0,0.0,,1,,,,,,,,90.0,24870,geometry/pose_raw,,4.294338226318359,-0.1747746765613556,0.0
,0.0,0.0,,2,,,,,,,,90.0,24878,geometry/pose_raw,,4.295662879943848,0.08062933385372162,0.0
,0.0,0.0,,3,,,,,,,,90.0,24886,geometry/pose_raw,,4.2939276695251465,-0.21345865726470947,0.0
,0.0,0.0,,4,,,,,,,,90.0,24895,geometry/pose_raw,,4.293111801147461,0.02410280704498291,0.0
,0.0,0.0,,5,,,,,,,,90.0,24903,geometry/pose_raw,,4.293849945068359,0.11001525074243546,0.0
,0.0,0.0,,6,,,,,,,,90.0,24914,geometry/pose_raw,,4.293595314025879,-0.12743964791297913,0.0
,,,,7,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,24919,crazyflie/motors,,,,
,0.0,0.0,,8,,,,,,,,90.0,24926,geometry/pose_raw,,4.29395866394043,0.03777474910020828,0.0
,0.0,0.0,,9,,,,,,,,90.0,24934,geometry/pose_raw,,4.294347286224365,-0.10432527959346771,0.0
,0.0,0.0,,10,,,,,,,,90.0,24944,geometry/pose_raw,,4.295330047607422,0.24293701350688934,0.0
,0.0,0.0,,11,,,,,,,,90.0,24954,geometry/pose_raw,,4.295214653015137,-0.0009290619054809213,0.0
,0.0,0.0,,12,,,,,,,,90.0,24965,geometry/pose_raw,,4.295924186706543,0.039595384150743484,0.0
231471621,,,"[ 1171  1234  1390  3015  3125  3531  3687  4156  4265  5125  5218  5859
  6171  6437  6687  6953  8000  8203  8421  8640  9031  9359  9734 10593
 10937 11046 12453 12812 13140 14921 15390 15640]",13,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[  4.92343679e-03  -2.78191944e-03  -8.12217768e-04  -3.58964986e-04
   5.16720815e-04  -4.40648932e-04   2.53563212e-05   4.97315137e-04
   1.20659402e-04   2.05988603e-04   6.66651351e-04  -9.36187280e-06
   7.08493986e-04   3.58409248e-04  -7.59244547e-04   9.06948117e-05
  -1.99317932e-04  -4.89917438e-05  -4.15688934e-04   3.45832559e-05
  -4.92965628e-04   1.82600037e-04  -1.86224934e-05  -1.14890499e-05
  -1.69448409e-04   2.80722365e-04  -3.79831472e-05   3.41872947e-04
   2.16112967e-04  -1.39863376e-04  -2.36263644e-04  -8.77472339e-05
   1.08056294e-03  -1.44124439e-04  -6.64344698e-04  -5.05848497e-04
  -3.65400600e-04  -1.98143272e-04   2.42674054e-04   2.41250586e-04
  -6.28469919e-04  -4.01808327e-04   1.49671701e-04   3.57513432e-04
   2.46594951e-04  -2.03677060e-04  -1.55907270e-04   9.44535423e-05
  -8.81195068e-04  -4.17849806e-05   8.48577765e-05   3.47794819e-04
  -9.86961750e-05   3.28234571e-04   3.53780808e-04   3.52192554e-04
   1.06202519e-04  -4.47703824e-05  -1.45320810e-05  -1.56737180e-04
  -3.36704950e-04   7.74618238e-05   4.15384362e-04  -9.70471883e-05
   6.11988711e-04  -4.24408528e-04  -1.99205952e-05   5.58837957e-04
   7.29617168e-05   3.87463369e-04  -3.42503889e-04   1.57751492e-04
  -4.32746485e-04  -2.58513581e-04   7.46010686e-04   5.89028641e-04
  -1.71506821e-04   1.14443901e-04   7.50351639e-04  -2.05064600e-04
  -5.49316406e-04  -6.65616535e-05  -4.48125997e-04   1.07359374e-05
   6.08187052e-04   2.61351757e-04  -8.92540440e-04   1.51124725e-04
  -2.18658621e-04  -3.42573883e-04   2.11362421e-05   6.35031174e-05
  -1.31997920e-04  -7.78697795e-05  -1.46923878e-04   5.95784513e-06
   2.13599895e-04   2.31517828e-04   3.59240919e-04   3.15820507e-04
   2.96282640e-04  -3.79001547e-04   1.87072204e-04   1.13757979e-03
  -1.93594737e-04  -2.72030244e-04  -1.56288705e-04   1.43964833e-04
  -3.64898617e-04   3.90099594e-04   5.73514262e-04  -1.69455307e-04
   4.14848328e-04  -5.83711371e-04   1.16119278e-04   2.17654670e-04
  -9.77062155e-06   2.02499141e-04   1.67446939e-04  -2.63096808e-05
   1.23953767e-04   2.31856335e-04  -1.78639151e-04   3.92499569e-05
   2.14963264e-04  -1.01723068e-04  -1.38850999e-04   7.86565943e-05]","[ -8.21128488e-05   5.89297793e-04  -1.09653556e-04   4.05967236e-04
  -6.08392642e-04   9.44306375e-04  -3.91468457e-05   3.37286765e-05
   2.50794605e-04  -3.56807141e-04  -1.42957870e-05  -3.58790305e-04
   4.90597158e-04   3.55065655e-04  -2.98079423e-04   1.64551602e-04
  -4.02450562e-04  -7.00486416e-04  -2.25605239e-04   4.79959097e-04
  -6.64440886e-05   6.68163193e-05   4.76498593e-04  -3.57788376e-04
  -1.98895839e-04  -5.14010899e-04   1.35926937e-04   8.49256903e-05
  -1.42251432e-04   1.34562390e-04  -2.47210963e-04  -1.06037594e-04
  -1.65018442e-04   6.15025638e-04   9.23209373e-05  -3.47231980e-04
   1.56857306e-04  -1.56613285e-04   3.73501010e-04   6.09746843e-04
  -1.19519485e-04   5.95590391e-04  -7.31457782e-04   1.26466679e-04
   6.92308007e-04   2.39358305e-05  -6.53180410e-04   1.00224141e-04
   1.89781189e-04  -8.54453538e-05   2.57457781e-04  -5.43442620e-05
  -3.27401474e-04  -2.56695668e-04   9.74332361e-05   3.66684253e-04
  -1.19190336e-04   6.63979663e-05   2.08559213e-04  -1.00838646e-04
   7.82325078e-05   1.55967238e-04  -7.16146606e-04   1.76392496e-05
  -1.68004262e-04   1.84685559e-04  -5.64809234e-05  -3.53608571e-04
   9.44077983e-05   3.24249966e-04  -3.46950183e-05  -3.06042843e-04
   7.54086795e-05   2.17735884e-04   2.07419318e-04   1.71212741e-04
   5.58525207e-04  -5.14469226e-04   2.04225449e-04   2.03227377e-04
   4.27246094e-04   1.37916257e-04  -1.71238498e-04  -4.77768073e-04
  -4.32096160e-04   4.45970727e-07   9.45038701e-05  -3.91790527e-04
   3.81721911e-05  -2.70731252e-05  -2.35238986e-04  -1.05719446e-05
   1.77271169e-04   2.67208728e-04   5.50401397e-04   1.27710402e-04
   5.07006043e-05   8.57122010e-04  -3.10980424e-04  -4.58975381e-04
   1.66006619e-04  -6.87140855e-04   1.13052723e-04   9.45103384e-05
   7.18104653e-04  -1.50802080e-05   4.19114105e-04   2.09897466e-04
   5.87474206e-04   2.29996294e-04  -2.46731361e-04  -1.78473158e-04
  -1.21212006e-03  -1.98586073e-04   6.40478276e-04  -3.01424705e-04
  -6.78361357e-06   1.70990475e-04   5.25625190e-04   2.11493752e-05
  -9.95035080e-05  -2.76858918e-04   4.10194043e-04   1.92842577e-04
  -3.37141857e-04  -9.24159540e-05   2.70222954e-04   1.13441609e-04]",,24966,audio/signals_f,,,,
,0.0,0.0,,14,,,,,,,,90.0,24973,geometry/pose_raw,,4.295430660247803,-0.11936026811599731,0.0
,0.0,0.0,,15,,,,,,,,90.0,24995,geometry/pose_raw,,4.295075416564941,0.07432420551776886,0.0
,0.0,0.0,,16,,,,,,,,90.0,25002,geometry/pose_raw,,4.295990943908691,0.21841540932655334,0.0
,0.0,0.0,,17,,,,,,,,90.0,25009,geometry/pose_raw,,4.298145771026611,-0.009983355179429054,0.0
,,,,18,,,,,,,,,25016,crazyflie/status,3.4944281578063965,,,
,0.0,0.0,,19,,,,,,,,90.0,25018,geometry/pose_raw,,4.299169063568115,0.05422866344451904,0.0
,,,,20,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,25021,crazyflie/motors,,,,
,0.0,0.0,,21,,,,,,,,90.0,25026,geometry/pose_raw,,4.298893928527832,0.007930171675980091,0.0
,0.0,0.0,,22,,,,,,,,90.0,25033,geometry/pose_raw,,4.299001216888428,-0.1997738927602768,0.0
,0.0,0.0,,23,,,,,,,,90.0,25045,geometry/pose_raw,,4.298848628997803,-0.02584439143538475,0.0
,0.0,0.0,,24,,,,,,,,90.0,25054,geometry/pose_raw,,4.298272132873535,0.014162469655275345,0.0
,0.0,0.0,,25,,,,,,,,90.0,25063,geometry/pose_raw,,4.298711776733398,-0.061613623052835464,0.0
,0.0,0.0,,26,,,,,,,,90.0,25075,geometry/pose_raw,,4.298722267150879,0.06519701331853867,0.0
