audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,212630,geometry/pose_raw,,14.656903266906738,0.23847924172878265,0.0
,0.0,0.0,,1,,,,,,,,90.0,212645,geometry/pose_raw,,14.65869140625,-0.04602959752082825,0.0
,0.0,0.0,,2,,,,,,,,90.0,212651,geometry/pose_raw,,14.658413887023926,-0.10770662128925323,0.0
,,,,3,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,212655,crazyflie/motors,,,,
,0.0,0.0,,4,,,,,,,,90.0,212659,geometry/pose_raw,,14.658880233764648,-0.04867465794086456,0.0
,0.0,0.0,,5,,,,,,,,90.0,212670,geometry/pose_raw,,14.659611701965332,0.001671348698437214,0.0
,0.0,0.0,,6,,,,,,,,90.0,212680,geometry/pose_raw,,14.660196304321289,0.28891721367836,0.0
,0.0,0.0,,7,,,,,,,,90.0,212690,geometry/pose_raw,,14.66154670715332,0.012932737357914448,0.0
,0.0,0.0,,8,,,,,,,,90.0,212700,geometry/pose_raw,,14.660977363586426,-0.01150188222527504,0.0
,0.0,0.0,,9,,,,,,,,90.0,212719,geometry/pose_raw,,14.660103797912598,-0.14428140223026276,0.0
,0.0,0.0,,10,,,,,,,,90.0,212724,geometry/pose_raw,,14.660943031311035,0.025194261223077774,0.0
,0.0,0.0,,11,,,,,,,,90.0,212730,geometry/pose_raw,,14.659804344177246,-0.19572119414806366,0.0
,0.0,0.0,,12,,,,,,,,90.0,212740,geometry/pose_raw,,14.659921646118164,0.12271004170179367,0.0
,0.0,0.0,,13,,,,,,,,90.0,212750,geometry/pose_raw,,14.661654472351074,0.07253003120422363,0.0
,,,,14,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,212755,crazyflie/motors,,,,
,0.0,0.0,,15,,,,,,,,90.0,212760,geometry/pose_raw,,14.661765098571777,0.0010803365148603916,0.0
,0.0,0.0,,16,,,,,,,,90.0,212770,geometry/pose_raw,,14.662516593933105,0.17797832190990448,0.0
,0.0,0.0,,17,,,,,,,,90.0,212780,geometry/pose_raw,,14.661966323852539,-0.20629018545150757,0.0
,0.0,0.0,,18,,,,,,,,90.0,212789,geometry/pose_raw,,14.662858009338379,0.18557623028755188,0.0
,0.0,0.0,,19,,,,,,,,90.0,212800,geometry/pose_raw,,14.662424087524414,0.07051599770784378,0.0
,0.0,0.0,,20,,,,,,,,90.0,212810,geometry/pose_raw,,14.662864685058594,-0.10333330184221268,0.0
,0.0,0.0,,21,,,,,,,,90.0,212820,geometry/pose_raw,,14.661943435668945,0.15731796622276306,0.0
