audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,18151,geometry/pose_raw,,28.70097541809082,0.09960845857858658,0.0
,0.0,0.0,,1,,,,,,,,90.0,18157,geometry/pose_raw,,28.701160430908203,0.1627187579870224,0.0
,0.0,0.0,,2,,,,,,,,90.0,18167,geometry/pose_raw,,28.702882766723633,-0.015422219410538673,0.0
,0.0,0.0,,3,,,,,,,,90.0,18178,geometry/pose_raw,,28.70220947265625,-0.05250168591737747,0.0
,0.0,0.0,,4,,,,,,,,90.0,18195,geometry/pose_raw,,28.703516006469727,0.03440609201788902,0.0
,0.0,0.0,,5,,,,,,,,90.0,18200,geometry/pose_raw,,28.70306968688965,0.12168604135513306,0.0
1708043128,,,"[ 1171  1234  1390  3015  3125  3531  3687  4156  4265  5125  5218  5859
  6171  6437  6687  6953  8000  8203  8421  8640  9031  9359  9734 10593
 10937 11046 12453 12812 13140 14921 15390 15640]",6,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,,32,4,"[ -3.03989253e-03   1.24277838e-04   3.19299987e-04  -1.45421573e-03
  -1.52354513e-03  -7.21165503e-04   9.96622839e-04   5.71405981e-04
  -4.99330694e-04  -2.01249422e-05   4.75248846e-04   3.09827767e-04
  -2.30855992e-04  -7.25645805e-04   4.28068051e-05   3.88026179e-04
  -4.11987305e-04  -8.44873546e-04  -1.95291606e-04  -2.25289201e-04
   3.48474918e-04  -2.83141242e-04   3.54525342e-04  -5.20092493e-04
   4.87140642e-06   3.46866582e-05  -2.45751580e-05  -1.44854159e-04
   2.87425180e-04  -2.86562077e-04   7.91802158e-05  -3.48142348e-04
  -7.57940521e-04   1.15473277e-03  -2.19541529e-04   6.26786146e-04
   2.88525422e-04  -2.77534389e-04  -4.29452848e-06   3.44441331e-04
  -3.48552770e-04  -1.82708114e-04  -1.13332535e-04  -2.70668126e-04
  -4.16963274e-04  -8.20779824e-05   1.27725070e-04   2.76519364e-04
   4.96864319e-04   4.96118519e-05   3.68154200e-04   4.61714430e-04
   1.38337171e-04  -1.71356543e-04   4.22311481e-04  -1.26074883e-06
   1.32967121e-04   2.09200574e-04   2.40942361e-04  -2.54680635e-04
  -4.50881125e-05  -2.57149426e-04   2.91967794e-04   1.59699906e-04
  -5.69043565e-04  -1.12338923e-03  -1.26921688e-04  -6.82577083e-04
  -2.05875695e-05   9.18416190e-05  -2.43265065e-04   3.53998621e-04
   3.45563923e-04  -3.65431442e-05  -5.16451328e-05   1.98209134e-04
  -9.10016010e-04  -1.35596434e-04  -5.59539112e-05  -3.71805916e-04
   1.10054016e-03  -3.80453945e-04  -1.80067960e-04  -2.24676027e-04
   3.79940786e-04   2.37931614e-04  -5.26385207e-04   7.43838027e-05
   3.60642909e-04   3.22597130e-04   4.43451223e-04  -1.07238884e-05
   3.57503246e-04  -2.05221339e-04  -1.08391774e-04   6.72009774e-05
  -1.02958293e-03   3.14058561e-04   6.92070520e-04  -2.16850880e-04
  -1.13123897e-04  -2.63372582e-04  -1.25927356e-04   1.14513183e-04
  -2.94518599e-04   5.54622966e-05   4.73680906e-04  -2.35625455e-04
  -3.10033065e-04   8.93626711e-05  -2.50705983e-04  -6.32049487e-05
  -6.79016113e-04  -2.56442057e-04   2.02064228e-04  -5.81427943e-04
  -2.02685478e-05  -5.16661792e-04  -3.43015883e-04   3.16690042e-04
   2.92961573e-04  -1.44578356e-04   1.96131587e-05   2.25692493e-04
  -1.72352782e-04  -8.72303717e-05   2.45590985e-04  -7.22830300e-05]","[  7.01895624e-04   1.06254756e-03  -2.03220279e-05   1.63681642e-03
   7.16237584e-04  -4.19376738e-04  -1.29586202e-03  -2.54294777e-04
  -4.96727647e-04  -2.48625787e-04   4.66417288e-04   8.95349804e-05
   4.59741044e-04  -4.39171738e-04  -2.17136228e-04   5.10752943e-05
   4.84466553e-04   3.48060537e-04  -1.98804497e-04   4.24750498e-04
  -1.71637585e-04  -2.07217861e-04   6.05517183e-04   3.54383883e-05
  -4.25725666e-05  -3.84291401e-04  -4.34782123e-06  -2.87251954e-04
  -1.02446014e-04  -1.21233403e-04   2.73598125e-05  -1.18519180e-04
   4.71782172e-04  -1.16866431e-03   1.62568584e-04  -5.45427436e-04
  -2.31125072e-04  -1.27540508e-04   1.17399861e-04  -1.35161565e-04
   5.33155631e-04   1.21256599e-05   1.53578207e-04   1.67372054e-04
  -4.83540280e-05   6.43603853e-05   2.29762940e-04  -2.30624519e-05
  -2.90870667e-04   3.48565081e-04   1.68046026e-04  -5.00669645e-04
  -3.14583049e-05   3.38808954e-04   1.37494411e-04  -1.94174208e-05
  -8.32950318e-05   9.01874082e-05   1.10656329e-04   5.00472597e-05
   1.88389706e-04  -1.09249719e-04   2.31569982e-04   4.57502902e-05
   1.15287905e-04   1.70241576e-04  -4.85068129e-04  -8.00621405e-04
   5.32288796e-05  -7.14380410e-04   5.41354471e-04   6.81998499e-05
  -3.17381782e-05   2.32348655e-04  -1.85076889e-04  -1.59964024e-04
   3.03385023e-05  -4.58625349e-04   5.73439029e-05   7.06778257e-04
   2.71797180e-04   3.36460289e-05  -6.11227762e-04  -3.57895333e-04
  -1.39033524e-04   7.18529103e-04  -2.65790353e-04   5.56541607e-04
  -3.14216857e-04  -9.08763031e-05  -1.67175574e-04   1.36453804e-04
  -1.34186092e-04  -6.16048856e-05  -5.90534415e-04  -7.72895291e-05
   6.73859846e-04  -5.95385674e-04  -4.16431518e-04  -8.48248383e-05
  -3.53614741e-05  -3.87044565e-04   7.23608537e-04   9.18596808e-04
   9.13228723e-04   1.24401413e-04  -5.84960108e-05   1.36237184e-04
   6.42621962e-05   2.83941452e-04   2.27317232e-05  -3.50192422e-05
   1.78337097e-04  -3.96914038e-06   3.35643825e-04  -8.64726680e-05
  -5.25004289e-04   6.43452455e-04  -8.90042284e-04   1.90135528e-04
  -1.05808977e-05   1.85077806e-05   1.51167042e-05   5.68349642e-05
   1.25335908e-04   1.18674579e-05   1.30594010e-04   1.20132696e-04]",,18202,audio/signals_f,,,,
,0.0,0.0,,7,,,,,,,,90.0,18208,geometry/pose_raw,,28.703275680541992,0.29970815777778625,0.0
,,,,8,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,18210,crazyflie/motors,,,,
,0.0,0.0,,9,,,,,,,,90.0,18217,geometry/pose_raw,,28.704622268676758,-0.02304338477551937,0.0
