audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,2045928,geometry/pose_raw,,151.2044219970703,-0.25095778703689575,0.0
,0.0,0.0,,1,,,,,,,,90.0,2045939,geometry/pose_raw,,151.20506286621094,0.3415625989437103,0.0
,0.0,0.0,,2,,,,,,,,90.0,2045949,geometry/pose_raw,,151.20654296875,-0.04164542630314827,0.0
,0.0,0.0,,3,,,,,,,,90.0,2045959,geometry/pose_raw,,151.20721435546875,-0.06692656874656677,0.0
,0.0,0.0,,4,,,,,,,,90.0,2045973,geometry/pose_raw,,151.20819091796875,0.052348051220178604,0.0
,0.0,0.0,,5,,,,,,,,90.0,2045978,geometry/pose_raw,,151.20779418945312,-0.04363521188497543,0.0
,0.0,0.0,,6,,,,,,,,90.0,2045988,geometry/pose_raw,,151.20779418945312,-0.1460186243057251,0.0
,,,,7,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,2045998,crazyflie/motors,,,,
,0.0,0.0,,8,,,,,,,,90.0,2045999,geometry/pose_raw,,151.20787048339844,0.0736398845911026,0.0
,0.0,0.0,,9,,,,,,,,90.0,2046009,geometry/pose_raw,,151.2087860107422,0.23303763568401337,0.0
,0.0,0.0,,10,,,,,,,,90.0,2046018,geometry/pose_raw,,151.2081756591797,0.10131912678480148,0.0
,0.0,0.0,,11,,,,,,,,90.0,2046029,geometry/pose_raw,,151.20852661132812,-0.009382333606481552,0.0
,0.0,0.0,,12,,,,,,,,90.0,2046039,geometry/pose_raw,,151.2092742919922,-0.12291216850280762,0.0
