dx,dy,index,motors_pwm,motors_thrust,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
0.0,0.0,0,,,90.0,918067,geometry/pose_raw,,3.240793228149414,-0.03130966052412987,0.0
0.0,0.0,1,,,90.0,918084,geometry/pose_raw,,3.2401185035705566,0.044777464121580124,0.0
,,2,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,918089,crazyflie/motors,,,,
0.0,0.0,3,,,90.0,918092,geometry/pose_raw,,3.2400548458099365,-0.27723151445388794,0.0
0.0,0.0,4,,,90.0,918099,geometry/pose_raw,,3.2400779724121094,0.17759326100349426,0.0
0.0,0.0,5,,,90.0,918115,geometry/pose_raw,,3.2405834197998047,-0.10955950617790222,0.0
0.0,0.0,6,,,90.0,918131,geometry/pose_raw,,3.242112874984741,-0.14024382829666138,0.0
0.0,0.0,7,,,90.0,918139,geometry/pose_raw,,3.2410924434661865,-0.09048406034708023,0.0
0.0,0.0,8,,,90.0,918154,geometry/pose_raw,,3.241611957550049,-0.024209603667259216,0.0
0.0,0.0,9,,,90.0,918165,geometry/pose_raw,,3.241473436355591,-0.020461248233914375,0.0
0.0,0.0,10,,,90.0,918177,geometry/pose_raw,,3.242018699645996,0.03991595655679703,0.0
,,11,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,918181,crazyflie/motors,,,,
0.0,0.0,12,,,90.0,918186,geometry/pose_raw,,3.241595506668091,-0.13821285963058472,0.0
0.0,0.0,13,,,90.0,918197,geometry/pose_raw,,3.2422618865966797,-0.08224093168973923,0.0
0.0,0.0,14,,,90.0,918215,geometry/pose_raw,,3.2424421310424805,-0.02534683793783188,0.0
0.0,0.0,15,,,90.0,918227,geometry/pose_raw,,3.243356466293335,0.07050159573554993,0.0
0.0,0.0,16,,,90.0,918236,geometry/pose_raw,,3.241743326187134,-0.10738010704517365,0.0
0.0,0.0,17,,,90.0,918246,geometry/pose_raw,,3.2422759532928467,0.125727117061615,0.0
0.0,0.0,18,,,90.0,918258,geometry/pose_raw,,3.2421600818634033,-0.07594715803861618,0.0
0.0,0.0,19,,,90.0,918265,geometry/pose_raw,,3.2415771484375,-0.0462772361934185,0.0
,,20,,,,918276,crazyflie/status,4.1489739418029785,,,
0.0,0.0,21,,,90.0,918279,geometry/pose_raw,,3.240267038345337,-0.11797486990690231,0.0
,,22,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,918284,crazyflie/motors,,,,
0.0,0.0,23,,,90.0,918288,geometry/pose_raw,,3.241044282913208,0.0044619436375796795,0.0
0.0,0.0,24,,,90.0,918296,geometry/pose_raw,,3.2414822578430176,0.07339451462030411,0.0
0.0,0.0,25,,,90.0,918305,geometry/pose_raw,,3.2417116165161133,0.011445499956607819,0.0
0.0,0.0,26,,,90.0,918317,geometry/pose_raw,,3.241473913192749,-0.010045727714896202,0.0
0.0,0.0,27,,,90.0,918327,geometry/pose_raw,,3.2408013343811035,0.3344035744667053,0.0
0.0,0.0,28,,,90.0,918343,geometry/pose_raw,,3.2429749965667725,0.0261321309953928,0.0
0.0,0.0,29,,,90.0,918352,geometry/pose_raw,,3.2429676055908203,-0.022262360900640488,0.0
0.0,0.0,30,,,90.0,918361,geometry/pose_raw,,3.24113130569458,-0.25117188692092896,0.0
0.0,0.0,31,,,90.0,918374,geometry/pose_raw,,3.2398979663848877,0.06890307366847992,0.0
,,32,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,918387,crazyflie/motors,,,,
0.0,0.0,33,,,90.0,918390,geometry/pose_raw,,3.2408974170684814,-0.008970123715698719,0.0
0.0,0.0,34,,,90.0,918395,geometry/pose_raw,,3.240328073501587,0.07917191833257675,0.0
0.0,0.0,35,,,90.0,918404,geometry/pose_raw,,3.239682674407959,0.003616875037550926,0.0
0.0,0.0,36,,,90.0,918416,geometry/pose_raw,,3.2389421463012695,0.04899280518293381,0.0
0.0,0.0,37,,,90.0,918426,geometry/pose_raw,,3.2386436462402344,-0.04042347893118858,0.0
0.0,0.0,38,,,90.0,918443,geometry/pose_raw,,3.2382779121398926,-0.10983511805534363,0.0
0.0,0.0,39,,,90.0,918452,geometry/pose_raw,,3.2389371395111084,0.13491249084472656,0.0
0.0,0.0,40,,,90.0,918456,geometry/pose_raw,,3.238636016845703,-0.020471885800361633,0.0
0.0,0.0,41,,,90.0,918472,geometry/pose_raw,,3.2386157512664795,0.27806270122528076,0.0
0.0,0.0,42,,,90.0,918480,geometry/pose_raw,,3.2400975227355957,0.09111341834068298,0.0
,,43,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,918485,crazyflie/motors,,,,
0.0,0.0,44,,,90.0,918489,geometry/pose_raw,,3.2410144805908203,0.1296689361333847,0.0
0.0,0.0,45,,,90.0,918496,geometry/pose_raw,,3.2419018745422363,0.09898364543914795,0.0
0.0,0.0,46,,,90.0,918511,geometry/pose_raw,,3.2409772872924805,-0.051716528832912445,0.0
0.0,0.0,47,,,90.0,918518,geometry/pose_raw,,3.2410688400268555,0.0020374832674860954,0.0
