dx,dy,index,motors_pwm,motors_thrust,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
0.0,0.0,0,,,90.0,987556,geometry/pose_raw,,-85.98099517822266,-0.029217008501291275,0.0
0.0,0.0,1,,,90.0,987560,geometry/pose_raw,,-85.98173522949219,-0.13560186326503754,0.0
0.0,0.0,2,,,90.0,987567,geometry/pose_raw,,-85.9808349609375,-0.016084913164377213,0.0
0.0,0.0,3,,,90.0,987579,geometry/pose_raw,,-85.98197174072266,-0.09400565922260284,0.0
0.0,0.0,4,,,90.0,987589,geometry/pose_raw,,-85.98188018798828,0.15331892669200897,0.0
0.0,0.0,5,,,90.0,987600,geometry/pose_raw,,-85.98039245605469,0.0029830618295818567,0.0
0.0,0.0,6,,,90.0,987611,geometry/pose_raw,,-85.98108673095703,-0.2455492615699768,0.0
0.0,0.0,7,,,90.0,987620,geometry/pose_raw,,-85.98106384277344,0.09434813261032104,0.0
,,8,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,987627,crazyflie/motors,,,,
0.0,0.0,9,,,90.0,987631,geometry/pose_raw,,-85.98039245605469,-0.09212354570627213,0.0
0.0,0.0,10,,,90.0,987648,geometry/pose_raw,,-85.97802734375,-0.1153135672211647,0.0
0.0,0.0,11,,,90.0,987665,geometry/pose_raw,,-85.97911071777344,-0.07913168519735336,0.0
0.0,0.0,12,,,90.0,987671,geometry/pose_raw,,-85.97956848144531,0.24772197008132935,0.0
0.0,0.0,13,,,90.0,987677,geometry/pose_raw,,-85.97879028320312,-0.12294993549585342,0.0
0.0,0.0,14,,,90.0,987689,geometry/pose_raw,,-85.97874450683594,-0.008460030891001225,0.0
0.0,0.0,15,,,90.0,987712,geometry/pose_raw,,-85.97881317138672,-0.11815230548381805,0.0
0.0,0.0,16,,,90.0,987717,geometry/pose_raw,,-85.97871398925781,-0.19315758347511292,0.0
,,17,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,987721,crazyflie/motors,,,,
0.0,0.0,18,,,90.0,987729,geometry/pose_raw,,-85.97941589355469,-0.11847212165594101,0.0
0.0,0.0,19,,,90.0,987741,geometry/pose_raw,,-85.9781723022461,0.1481497436761856,0.0
0.0,0.0,20,,,90.0,987748,geometry/pose_raw,,-85.97917175292969,0.08494240790605545,0.0
0.0,0.0,21,,,90.0,987760,geometry/pose_raw,,-85.97880554199219,0.1003841832280159,0.0
0.0,0.0,22,,,90.0,987771,geometry/pose_raw,,-85.9792709350586,0.07640478014945984,0.0
0.0,0.0,23,,,90.0,987783,geometry/pose_raw,,-85.97766876220703,0.18242084980010986,0.0
0.0,0.0,24,,,90.0,987794,geometry/pose_raw,,-85.97827911376953,-0.02025028131902218,0.0
0.0,0.0,25,,,90.0,987802,geometry/pose_raw,,-85.97825622558594,0.10210303217172623,0.0
0.0,0.0,26,,,90.0,987814,geometry/pose_raw,,-85.97882843017578,-0.05663641542196274,0.0
0.0,0.0,27,,,90.0,987820,geometry/pose_raw,,-85.97846221923828,0.0199484471231699,0.0
,,28,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,987825,crazyflie/motors,,,,
0.0,0.0,29,,,90.0,987833,geometry/pose_raw,,-85.97807312011719,0.16655585169792175,0.0
