audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,motors_thrust,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,,,90.0,225869,geometry/pose_raw,,-90.91996002197266,-0.0732625350356102,0.0
,0.0,0.0,,1,,,,,,,,90.0,225875,geometry/pose_raw,,-90.91934967041016,0.1860729604959488,0.0
,0.0,0.0,,2,,,,,,,,90.0,225883,geometry/pose_raw,,-90.9210433959961,0.2563457787036896,0.0
,0.0,0.0,,3,,,,,,,,90.0,225892,geometry/pose_raw,,-90.91967010498047,-0.05904050171375275,0.0
,0.0,0.0,,4,,,,,,,,90.0,225902,geometry/pose_raw,,-90.9190444946289,-0.09241268783807755,0.0
,0.0,0.0,,5,,,,,,,,90.0,225912,geometry/pose_raw,,-90.91915130615234,0.1312444806098938,0.0
,0.0,0.0,,6,,,,,,,,90.0,225922,geometry/pose_raw,,-90.91845703125,-0.0885753482580185,0.0
,0.0,0.0,,7,,,,,,,,90.0,225933,geometry/pose_raw,,-90.91938781738281,-0.07924661785364151,0.0
,0.0,0.0,,8,,,,,,,,90.0,225942,geometry/pose_raw,,-90.91971588134766,-0.17128916084766388,0.0
,,,,9,,[ 0.  0.  0.  0.],[ 0.  0.  0.  0.],,,,,,225946,crazyflie/motors,,,,
,0.0,0.0,,10,,,,,,,,90.0,225952,geometry/pose_raw,,-90.92074584960938,-0.0020747152157127857,0.0
,0.0,0.0,,11,,,,,,,,90.0,225961,geometry/pose_raw,,-90.9211654663086,0.2704181671142578,0.0
,0.0,0.0,,12,,,,,,,,90.0,225972,geometry/pose_raw,,-90.92180633544922,-0.3830633759498596,0.0
,0.0,0.0,,13,,,,,,,,90.0,225982,geometry/pose_raw,,-90.92127227783203,-0.036887042224407196,0.0
